"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Fanø";780;744
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Fredericia";13949;12162
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Haderslev";14726;12656
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Kolding";26489;23653
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Sønderborg";18946;16424
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Tønder";9684;8116
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Varde";14454;11898
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Vejen";12690;10151
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Vejle";34057;30059
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Aabenraa";15260;13116
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Favrskov";14127;12341
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Hedensted";14345;11781
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Horsens";27061;23385
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Norddjurs";9902;8351
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Odder";6272;5645
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Randers";27001;23778
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Samsø";946;790
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Silkeborg";27667;24873
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Skanderborg";17949;16469
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Syddjurs";11699;10254
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Aarhus";99378;96013
"TOT Erhverv i alt";"2022";"Natbefolkning (bopælskommune)";"Herning";25968;21946
