,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse
"Mellemtoftevej 36,2600",3.995.000 kr.,"Hospitalsskolen , Børne og Ungdomspsykiatrisk Center",391 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke D,Høj,"24,6%",25‰.,"Der er 23.514 indbyggere i Glostrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 25‰.",Til salg i alt: 1 dag,128 m²,Grund: 388 m²,Ejerudg.: 2.889 kr/md,5 værelser,Opført 1947,1 toilet,2600,https://www.boligsiden.dk/addresses/0a3f50a4-be85-32b8-e044-0003ba298018,,,
"Strandpromenaden 21, 1. tv.,3000",6.095.000 kr.,Skolen i Bymidten,336 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke A2015,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 0 dag,136 m²,,Ejerudg.: 6.056 kr/md,5 værelser,Opført 2020,2 toiletter,3000,https://www.boligsiden.dk/addresses/0d5cec39-0046-4f36-9850-8c2d08933fd5,Elevator: Nej,Altan: Nej,Terrasse: Nej
