,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Kirkevej 34, 1. 5.,8660",998.000 kr.,Morten Børup Skolen,425 m,7.4,3.7,Ejerlejlighed,Energimærke C,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 48 dage,57 m²,Ejerudg.: 1.863 kr/md,Elevator: Nej,2 værelser,Opført 1972,1 toilet,Altan: Ja,Terrasse: Nej,8660,https://www.boligsiden.dk/addresses/0a3f50c2-311d-32b8-e044-0003ba298018,,
"Skovlundvej 4,7330",3.100.000 kr.,Artium Skole,"1,2 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke A2020,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 48 dage,155 m²,Ejerudg.: 2.361 kr/md,,5 værelser,Opført 2025,-,,,7330,https://www.boligsiden.dk/addresses/2776c0a9-002c-4414-8624-903cd931adef,Grund: 941 m²,
"Kløvervej 29, st.,4000",4.995.000 kr.,Hedegårdenes Skole,662 m,7.3,3.7,Ejerlejlighed,Energimærke E,Høj,"25,2%","25,69‰.","Der er 89.447 indbyggere i Roskilde Kommune. Kommuneskatten er på 25,2% og grundskyldspromillen på 25,69‰.",Til salg i alt: 48 dage,148 m²,Ejerudg.: 3.807 kr/md,Elevator: Nej,6 værelser,Opført 1949,2 toiletter,Altan: Nej,Terrasse: Nej,4000,https://www.boligsiden.dk/addresses/0a3f50ab-f224-32b8-e044-0003ba298018,,
"Brombærhaven 50,7120",3.575.000 kr.,Hældagerskolen,"1,34 km",7.3,3.8,Villa,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 194 dage,149 m²,Ejerudg.: 3.486 kr/md,,6 værelser,Opført 1999,2 toiletter,,,7120,https://www.boligsiden.dk/addresses/0a3f50bc-a07f-32b8-e044-0003ba298018,Grund: 890 m²,
"Vestermøllevej 21,7700",2.995.000 kr.,Hanstholm Skole,"10,47 km",6.2,3.6,Villa/Fritidsbolig,Energimærke C,Lav,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 48 dage,275 m²,Ejerudg.: 3.473 kr/md,,9 værelser,Opført 1934,3 toiletter,,,7700,https://www.boligsiden.dk/addresses/0a3f50c5-020b-32b8-e044-0003ba298018,Grund: 984 m²,
"Klæstrupvej 132,9740",2.495.000 kr.,Toftegårdsskolen,"1,31 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke D,Mellem,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 48 dage,366 m²,Ejerudg.: 2.374 kr/md,,5 værelser,Opført 1972,2 toiletter,,,9740,https://www.boligsiden.dk/addresses/2ef51a73-ba45-4ee7-e044-0003ba298018,Grund: 5230 m²,
"Stjernevej 11, st. tv.,7100",995.000 kr.,Petersmindeskolen,161 m,7.1,3.8,Ejerlejlighed,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 48 dage,81 m²,Ejerudg.: 3.050 kr/md,Elevator: Nej,3 værelser,Opført 1966,1 toilet,Altan: Nej,Terrasse: Nej,7100,https://www.boligsiden.dk/addresses/0a3f50bc-f906-32b8-e044-0003ba298018,,
"Richard Boones Vej 2, st. tv.,2450",4.995.000 kr.,Skolen i Sydhavnen,536 m,7.7,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,85 m²,Ejerudg.: 4.278 kr/md,Elevator: Ja,3 værelser,Opført 2009,1 toilet,Altan: Ja,Terrasse: Ja,2450,https://www.boligsiden.dk/addresses/6887bcc5-90a4-31da-e044-00144f3ead67,,
"Telefontorvet 8, 4. th.,8000",5.495.000 kr.,Samsøgades Skole,782 m,6.9,3.6,Ejerlejlighed,Energimærke A2010,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,128 m²,Ejerudg.: 5.245 kr/md,Elevator: Nej,4 værelser,Opført 2005,1 toilet,Altan: Nej,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/0ab7a635-450c-0435-e044-0003ba298018,,
"Hørvænget 1,4681",2.695.000 kr.,Holmebækskolen,906 m,6.8,3.7,Villa,Energimærke D,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 48 dage,129 m²,Ejerudg.: 2.234 kr/md,,4 værelser,Opført 1977,2 toiletter,,,4681,https://www.boligsiden.dk/addresses/0a3f50ab-7018-32b8-e044-0003ba298018,Grund: 838 m²,
