,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Ejstrupvej 28,6000",1.495.000 kr.,Bakkeskolen,"4,71 km",7.1,3.8,Villa,Energimærke D,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 48 dage,128 m²,Ejerudg.: 2.094 kr/md,,4 værelser,Opført 1896,2 toiletter,,,6000,https://www.boligsiden.dk/addresses/0a3f50bb-f3e8-32b8-e044-0003ba298018,Grund: 3217 m²,
"Tesch Alle 14,2840",45.000.000 kr.,Holte Skole,"1,07 km",8.6,3.8,Villa,Energimærke D,Mellem,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 48 dage,149 m²,Ejerudg.: 17.506 kr/md,,5 værelser,Opført 1948,3 toiletter,,,2840,https://www.boligsiden.dk/addresses/0a3f50a6-f9e9-32b8-e044-0003ba298018,Grund: 2370 m²,
"Frederikssundsvej 118,3310",1.495.000 kr.,Ølsted Skole,"1,59 km",6.3,3.5,Villa,Energimærke E,Lav,"25,7%",34‰.,"Der er 31.344 indbyggere i Halsnæs Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,127 m²,Ejerudg.: 2.628 kr/md,,3 værelser,Opført 1948,1 toilet,,,3310,https://www.boligsiden.dk/addresses/0a3f50a8-7af7-32b8-e044-0003ba298018,Grund: 1003 m²,
"Vibevej 2,8543",2.699.000 kr.,Hornslet Skole,661 m,7.4,3.7,Villa,Energimærke F,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 48 dage,158 m²,Ejerudg.: 2.263 kr/md,,5 værelser,Opført 1963,2 toiletter,,,8543,https://www.boligsiden.dk/addresses/0a3f50c1-6b4c-32b8-e044-0003ba298018,Grund: 701 m²,
"Enighedsvej 16,4800",1.498.000 kr.,Østerbroskolen,"1,25 km",6.5,3.7,Villa,Energimærke D,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 48 dage,136 m²,Ejerudg.: 1.696 kr/md,,6 værelser,Opført 1944,2 toiletter,,,4800,https://www.boligsiden.dk/addresses/0a3f50b0-24a4-32b8-e044-0003ba298018,Grund: 470 m²,
"Ladelundsvej 10,8600",4.195.000 kr.,Buskelundskolen,568 m,7.9,3.8,Villa,Energimærke C,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 239 dage,235 m²,Ejerudg.: 3.071 kr/md,,5 værelser,Opført 1972,2 toiletter,,,8600,https://www.boligsiden.dk/addresses/0a3f50c1-e5e8-32b8-e044-0003ba298018,Grund: 924 m²,
"Solbakkevej 36,2820",11.995.000 kr.,Skovgårdsskolen,"1,42 km",8.6,3.9,Villa,Energimærke D,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 48 dage,172 m²,Ejerudg.: 7.159 kr/md,,7 værelser,Opført 1976,2 toiletter,,,2820,https://www.boligsiden.dk/addresses/0a3f50a4-04e6-32b8-e044-0003ba298018,Grund: 786 m²,
"Møllergade 51,5700",2.600.000 kr.,Ørkildskolen,"1,11 km",6.6,3.8,Rækkehus,Energimærke D,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 48 dage,163 m²,Ejerudg.: 2.180 kr/md,,6 værelser,Opført 1900,2 toiletter,,,5700,https://www.boligsiden.dk/addresses/0a3f50b5-8e58-32b8-e044-0003ba298018,Grund: 122 m²,
"Åbrinken 5,7200",1.198.000 kr.,Sdr Omme Skole,"9,34 km",7.1,3.8,Villa,Energimærke C,Lav,24%,"18,48‰.","Der er 26.631 indbyggere i Billund Kommune. Kommuneskatten er på 24% og grundskyldspromillen på 18,48‰.",Til salg i alt: 48 dage,125 m²,Ejerudg.: 959 kr/md,,4 værelser,Opført 1968,1 toilet,,,7200,https://www.boligsiden.dk/addresses/0a3f50b9-9cc6-32b8-e044-0003ba298018,Grund: 800 m²,
"Kirsebærlunden 47,5471",1.795.000 kr.,Glavendrupskolen,605 m,6.7,3.7,Villa,Energimærke C,Høj,26%,"29,98‰.","Der er 29.714 indbyggere i Nordfyns Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 29,98‰.",Til salg i alt: 48 dage,120 m²,Ejerudg.: 1.826 kr/md,,4 værelser,Opført 1973,2 toiletter,,,5471,https://www.boligsiden.dk/addresses/0a3f50b5-ced7-32b8-e044-0003ba298018,Grund: 919 m²,
"Strandvejen 90, 2. tv.,8400",2.700.000 kr.,Ebeltoft Skole,699 m,7.3,3.7,Ejerlejlighed/Fritidsbolig,Energimærke C,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 48 dage,69 m²,Ejerudg.: 2.787 kr/md,Elevator: Ja,2 værelser,Opført 2024,-,Altan: Ja,Terrasse: Nej,8400,https://www.boligsiden.dk/addresses/b0675473-e0a3-478c-a85d-027bba300960,,
"Solsortevej 1,4450",1.295.000 kr.,Jyderup Skole,73 m,6.6,3.6,Villa,Energimærke C,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 48 dage,76 m²,Ejerudg.: 1.318 kr/md,,3 værelser,Opført 1917,1 toilet,,,4450,https://www.boligsiden.dk/addresses/0a3f50af-1560-32b8-e044-0003ba298018,Grund: 710 m²,
"Klattrup Bygade 18,7000",1.995.000 kr.,Smidstrup-Skærup Skole,"3,18 km",6.9,3.7,Landejendom,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 130 dage,199 m²,Ejerudg.: 2.078 kr/md,,6 værelser,Opført 1912,1 toilet,,,7000,https://www.boligsiden.dk/addresses/0a3f50ba-58c2-32b8-e044-0003ba298018,Grund: 20000 m²,
"Strandvejen 80, st. th.,8400",5.200.000 kr.,Ebeltoft Skole,686 m,7.3,3.7,Ejerlejlighed/Fritidsbolig,Energimærke C,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 48 dage,134 m²,Ejerudg.: 3.914 kr/md,Elevator: Ja,4 værelser,Opført 2024,-,Altan: Ja,Terrasse: Nej,8400,https://www.boligsiden.dk/addresses/3cc6a46a-9413-4c54-b340-8e918968a590,,
"Vestervang 30, 2. th.,8000",2.750.000 kr.,Møllevangskolen,483 m,6.8,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,70 m²,Ejerudg.: 3.242 kr/md,Elevator: Nej,3 værelser,Opført 1983,1 toilet,Altan: Nej,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/0a3f50c4-a63e-32b8-e044-0003ba298018,,
"Tinghøjgade 48,9493",675.000 kr.,Saltum Skole,127 m,6.8,3.7,Villa,Energimærke E,Mellem,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 48 dage,102 m²,Ejerudg.: 1.044 kr/md,,3 værelser,Opført 1942,1 toilet,,,9493,https://www.boligsiden.dk/addresses/0a3f50c8-f8e8-32b8-e044-0003ba298018,Grund: 744 m²,
"Tændpibe 1A,6950",2.498.000 kr.,Lem Stationsskole,"4,61 km",6.9,3.8,Villa,Energimærke B,Meget lav,25%,31‰.,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,Til salg i alt: 48 dage,176 m²,Ejerudg.: 1.876 kr/md,,4 værelser,Opført 2009,2 toiletter,,,6950,https://www.boligsiden.dk/addresses/4a1537f9-22db-456f-b00c-7e3771314e64,Grund: 10289 m²,
"Lindevej 32,4760",249.000 kr.,"Gåsetårnskolen, Ørslev",384 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke G,Høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 48 dage,36 m²,Ejerudg.: 1.105 kr/md,,2 værelser,Opført 1962,1 toilet,,,4760,https://www.boligsiden.dk/addresses/0a3f50b1-ba37-32b8-e044-0003ba298018,Grund: 720 m²,
"Havborgvej 7,6710",2.048.000 kr.,Hjerting Skole,925 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 48 dage,147 m²,Ejerudg.: 2.298 kr/md,,5 værelser,Opført 1963,2 toiletter,,,6710,https://www.boligsiden.dk/addresses/0a3f50b8-f043-32b8-e044-0003ba298018,Grund: 788 m²,
"Tippethøj 19,8680",5.695.000 kr.,Mølleskolen,"1,78 km",7.9,3.9,Villa,Energimærke B,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 48 dage,205 m²,Ejerudg.: 3.614 kr/md,,4 værelser,Opført 2003,2 toiletter,,,8680,https://www.boligsiden.dk/addresses/0a3f50c1-920a-32b8-e044-0003ba298018,Grund: 915 m²,
"Åboulevarden 19B, 2. tv.,8000",3.995.000 kr.,Samsøgades Skole,974 m,6.9,3.6,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 48 dage,93 m²,Ejerudg.: 3.589 kr/md,Elevator: Ja,3 værelser,Opført 2008,1 toilet,Altan: Ja,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/4a78ea4c-0f37-6ee8-e044-0003ba298018,,
"Ny Ordrup Sidealle 1, 1. mf.,2920",1.700.000 kr.,Skovshoved Skole,508 m,8.2,3.9,Ejerlejlighed,Energimærke D,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 521 dage,48 m²,Ejerudg.: 2.835 kr/md,Elevator: Nej,2 værelser,Opført 1946,1 toilet,Altan: Ja,Terrasse: Nej,2920,https://www.boligsiden.dk/addresses/0a3f50a3-e95e-32b8-e044-0003ba298018,,
"Christian Winthers Vej 33,2800",22.000.000 kr.,Engelsborgskolen,420 m,8.5,3.8,Villa,Energimærke F,Lav,"24,38%","21,49‰.","Der er 57.826 indbyggere i Lyngby-Taarbæk Kommune. Kommuneskatten er på 24,38% og grundskyldspromillen på 21,49‰.",Til salg i alt: 48 dage,258 m²,Ejerudg.: 18.483 kr/md,,8 værelser,Opført 1939,2 toiletter,,,2800,https://www.boligsiden.dk/addresses/0a3f50a6-1f67-32b8-e044-0003ba298018,Grund: 2051 m²,
"Bavnehøjvej 5, 1.,8500",875.000 kr.,Søren Kanne-Skolen,"1,89 km",6.5,3.6,Ejerlejlighed,Energimærke C,Mellem,26%,34‰.,Der er 36.921 indbyggere i Norddjurs Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 34‰.,Til salg i alt: 572 dage,131 m²,Ejerudg.: 1.698 kr/md,Elevator: Nej,4 værelser,Opført 1938,1 toilet,Altan: Ja,Terrasse: Nej,8500,https://www.boligsiden.dk/addresses/0a3f50bf-c2a0-32b8-e044-0003ba298018,,
"Marie Bregendahls Vej 102,7430",2.275.000 kr.,Hyldgårdsskolen,720 m,7.3,3.9,Villa,Energimærke C,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 48 dage,172 m²,Ejerudg.: 2.065 kr/md,,4 værelser,Opført 1979,2 toiletter,,,7430,https://www.boligsiden.dk/addresses/0a3f50be-4f17-32b8-e044-0003ba298018,Grund: 988 m²,
"Dannebrogsgade 30,9700",1.395.000 kr.,Skolegades Skole,389 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 231 dage,124 m²,Ejerudg.: 1.515 kr/md,,5 værelser,Opført 1943,3 toiletter,,,9700,https://www.boligsiden.dk/addresses/0a3f50c6-e110-32b8-e044-0003ba298018,Grund: 499 m²,
"Bregnevej 61,4900",995.000 kr.,Byskolen,791 m,6.1,3.6,Villa,Energimærke D,Mellem,"26,3%","33,09‰.","Der er 40.107 indbyggere i Lolland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 33,09‰.",Til salg i alt: 317 dage,103 m²,Ejerudg.: 1.532 kr/md,,4 værelser,Opført 1951,2 toiletter,,,4900,https://www.boligsiden.dk/addresses/0a3f50af-ffe8-32b8-e044-0003ba298018,Grund: 1040 m²,
"Skjeberg Alle 272,2630",3.450.000 kr.,Torstorp Skole,633 m,6.9,3.7,Rækkehus,Energimærke A2010,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 48 dage,106 m²,Ejerudg.: 2.210 kr/md,,4 værelser,Opført 2019,2 toiletter,,,2630,https://www.boligsiden.dk/addresses/b91f0a6e-da1e-4891-824b-6b489a4b2856,Grund: 73 m²,
"Korsgade 13A,9500",1.095.000 kr.,Hobro Søndre Skole og MF10,170 m,7,3.7,Rækkehus,Energimærke E,Mellem,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 229 dage,78 m²,Ejerudg.: 984 kr/md,,3 værelser,Opført 1986,1 toilet,,,9500,https://www.boligsiden.dk/addresses/0a3f50c8-6509-32b8-e044-0003ba298018,Grund: 1072 m²,
"Klintedalsvej 37,4400",9.995.000 kr.,Nyrupskolen,934 m,7.2,3.7,Villa,Energimærke C,Høj,"24,2%",34‰.,"Der er 48.368 indbyggere i Kalundborg Kommune. Kommuneskatten er på 24,2% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,558 m²,Ejerudg.: 6.124 kr/md,,9 værelser,Opført 1971,4 toiletter,,,4400,https://www.boligsiden.dk/addresses/0a3f50ad-aad4-32b8-e044-0003ba298018,Grund: 13645 m²,
"Petersmindevej 27,9520",4.395.000 kr.,Skørping Skole,"1,85 km",7.8,3.7,Villa,Energimærke C,Meget lav,"25,33%","26,09‰.","Der er 30.646 indbyggere i Rebild Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 26,09‰.",Til salg i alt: 48 dage,205 m²,Ejerudg.: 2.462 kr/md,,7 værelser,Opført 2002,2 toiletter,,,9520,https://www.boligsiden.dk/addresses/0a3f50c9-52ea-32b8-e044-0003ba298018,Grund: 972 m²,
"Gærdet 32,5270",1.695.000 kr.,Kroggårdsskolen,451 m,7.2,3.8,Rækkehus,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 48 dage,86 m²,Ejerudg.: 1.391 kr/md,,3 værelser,Opført 1964,1 toilet,,,5270,https://www.boligsiden.dk/addresses/0a3f50b3-f294-32b8-e044-0003ba298018,Grund: 443 m²,
"Enghavevej 12,7362",495.000 kr.,Bryrup Skole,"9,56 km",7.2,3.7,Villa,Energimærke F,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 48 dage,100 m²,Ejerudg.: 1.117 kr/md,,3 værelser,Opført 1965,1 toilet,,,7362,https://www.boligsiden.dk/addresses/0a3f50c2-587d-32b8-e044-0003ba298018,Grund: 760 m²,
"Forupsvej 6,7120",3.975.000 kr.,Kirkebakkeskolen,497 m,7.6,3.8,Villa,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 48 dage,140 m²,Ejerudg.: 3.832 kr/md,,5 værelser,Opført 1963,1 toilet,,,7120,https://www.boligsiden.dk/addresses/0a3f50bc-b0b9-32b8-e044-0003ba298018,Grund: 1029 m²,
"Svend Trøst Vej 18,8960",2.195.000 kr.,Kristrup Skole,706 m,6.7,3.7,Villa,Energimærke C,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 48 dage,135 m²,Ejerudg.: 2.302 kr/md,,4 værelser,Opført 1936,2 toiletter,,,8960,https://www.boligsiden.dk/addresses/0a3f50c1-3f9a-32b8-e044-0003ba298018,Grund: 689 m²,
"Pilevej 3,4700",2.195.000 kr.,"Ellebækskolen, afd. Kalbyris",277 m,6.5,3.7,Villa,Energimærke C,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 48 dage,164 m²,Ejerudg.: 2.399 kr/md,,6 værelser,Opført 1939,1 toilet,,,4700,https://www.boligsiden.dk/addresses/0a3f50b0-ae17-32b8-e044-0003ba298018,Grund: 1014 m²,
"Vesterbro 24, 2. th.,9000",2.295.000 kr.,Sønderbroskolen,"1,38 km",7.2,3.8,Ejerlejlighed,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 48 dage,105 m²,Ejerudg.: 2.086 kr/md,Elevator: Nej,3 værelser,Opført 1933,1 toilet,Altan: Ja,Terrasse: Nej,9000,https://www.boligsiden.dk/addresses/0a3f50ca-f423-32b8-e044-0003ba298018,,
"Slagelsevej 126,4400",1.150.000 kr.,Rynkevangskolen,"1,18 km",6.2,3.5,Villa,Energimærke D,Høj,"24,2%",34‰.,"Der er 48.368 indbyggere i Kalundborg Kommune. Kommuneskatten er på 24,2% og grundskyldspromillen på 34‰.",Til salg i alt: 48 dage,107 m²,Ejerudg.: 1.429 kr/md,,3 værelser,Opført 1938,1 toilet,,,4400,https://www.boligsiden.dk/addresses/0a3f50ad-c1e7-32b8-e044-0003ba298018,Grund: 941 m²,
"Stavreby Strandvej 16,4720",3.995.000 kr.,Præstø skole,"6,96 km",6.8,3.7,Landejendom,Energimærke C,Høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 48 dage,353 m²,Ejerudg.: 4.461 kr/md,,9 værelser,Opført 1800,5 toiletter,,,4720,https://www.boligsiden.dk/addresses/0a3f50b0-f7e3-32b8-e044-0003ba298018,Grund: 30717 m²,
"Skodsborg Strandvej 159, st. th..,2942",12.500.000 kr.,Ravnholm Skole,"2,58 km",8.2,3.8,Ejerlejlighed,Energimærke A2015,Ukendt,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 48 dage,147 m²,Ejerudg.: 9.946 kr/md,Elevator: Ja,4 værelser,Opført 2024,-,Altan: Ja,Terrasse: Ja,2942,https://www.boligsiden.dk/addresses/32d26c1a-7acd-4ebc-b143-e3e7dc0815f3,,
"Kirkebyen 14,7950",745.000 kr.,Midtmors Skole,"2,07 km",6.3,3.7,Villa,Energimærke D,Mellem,"25,8%","24,68‰.","Der er 20.068 indbyggere i Morsø Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 24,68‰.",Til salg i alt: 366 dage,112 m²,Ejerudg.: 1.092 kr/md,,3 værelser,Opført 1906,2 toiletter,,,7950,https://www.boligsiden.dk/addresses/0a3f50c5-4c15-32b8-e044-0003ba298018,Grund: 6621 m²,
"Billesborgvej 5B,4681",1.795.000 kr.,Herfølge Skole,183 m,6.8,3.7,Rækkehus,Energimærke C,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 48 dage,66 m²,Ejerudg.: 1.687 kr/md,,3 værelser,Opført 1867,1 toilet,,,4681,https://www.boligsiden.dk/addresses/0a3f50ab-58cd-32b8-e044-0003ba298018,Grund: 149 m²,
"Skovduevej 12,8990",1.495.000 kr.,Fårup Skole og Børneby,"4,93 km",6.8,3.6,Villa,Energimærke B,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 48 dage,161 m²,Ejerudg.: 1.575 kr/md,,4 værelser,Opført 1977,2 toiletter,,,8990,https://www.boligsiden.dk/addresses/0a3f50c0-ca39-32b8-e044-0003ba298018,Grund: 838 m²,
