,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Frederikshøjvej 14,9560",748.000 kr.,Hadsund Skole,"1,51 km",7,3.8,Rækkehus,Energimærke F,Mellem,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 191 dage,77 m²,Grund: 183 m²,Ejerudg.: 995 kr/md,3 værelser,Opført 1985,1 toilet,9560,https://www.boligsiden.dk/addresses/0a3f50c7-9e36-32b8-e044-0003ba298018,,,,
"Frejasvej 108,8600",3.495.000 kr.,Hvinningdalskolen,913 m,7.8,3.8,Villa,Energimærke C,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 13 dage,149 m²,Grund: 944 m²,Ejerudg.: 2.806 kr/md,4 værelser,Opført 1987,1 toilet,8600,https://www.boligsiden.dk/addresses/0a3f50c1-cbc7-32b8-e044-0003ba298018,,,,
"Baldersvej 24,4600",6.995.000 kr.,Søndre Skole,200 m,7.4,3.7,Villa,Energimærke C,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 13 dage,200 m²,Grund: 700 m²,Ejerudg.: 4.014 kr/md,5 værelser,Opført 1962,2 toiletter,4600,https://www.boligsiden.dk/addresses/0a3f50ab-584d-32b8-e044-0003ba298018,,,,
"Rosenvængets Allé 17B, 5. tv.,2100",6.695.000 kr.,Sortedamskolen,283 m,7.6,3.7,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 13 dage,89 m²,,Ejerudg.: 5.563 kr/md,3 værelser,Opført 1903,1 toilet,2100,https://www.boligsiden.dk/addresses/0a3f50a0-54af-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Ja,
"Snærildvej 68,8300",2.195.000 kr.,"Vestskolen, afd. Skovbakken",973 m,7.2,3.7,Villa,Energimærke D,Mellem,"25,1%","30,32‰.","Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",Til salg i alt: 13 dage,146 m²,Grund: 814 m²,Ejerudg.: 3.189 kr/md,6 værelser,Opført 1973,2 toiletter,8300,https://www.boligsiden.dk/addresses/0a3f50c0-b3b7-32b8-e044-0003ba298018,,,,
"Helenelyst 50,8220",2.050.000 kr.,Engdalskolen,"1,37 km",7.5,3.8,Rækkehus,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 13 dage,75 m²,Grund: 77 m²,Ejerudg.: 1.695 kr/md,3 værelser,Opført 2005,1 toilet,8220,https://www.boligsiden.dk/addresses/0a3f50c3-18db-32b8-e044-0003ba298018,,,,
"Teglparken 10,6000",2.599.000 kr.,Vonsild Skole,219 m,7.2,3.8,Villa,Energimærke C,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 13 dage,122 m²,Grund: 766 m²,Ejerudg.: 2.080 kr/md,4 værelser,Opført 1971,2 toiletter,6000,https://www.boligsiden.dk/addresses/0a3f50bc-4dd5-32b8-e044-0003ba298018,,,,
"Odensegade 43, 4. tv.,8000",2.595.000 kr.,Frederiksbjerg Skole,130 m,7.7,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 13 dage,48 m²,,Ejerudg.: 2.370 kr/md,2 værelser,Opført 1902,1 toilet,8000,https://www.boligsiden.dk/addresses/0a3f50c3-ce1a-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Nordre Jernbanevej 13B, 1. th.,3400",2.495.000 kr.,Frederiksborg Byskole,397 m,7.9,3.7,Ejerlejlighed,Energimærke D,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 13 dage,81 m²,,Ejerudg.: 7.524 kr/md,3 værelser,Opført 1985,1 toilet,3400,https://www.boligsiden.dk/addresses/0a3f50a9-c706-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Rosenkrantzgade 12B, 1.,8000",3.895.000 kr.,Frederiksbjerg Skole,945 m,7.7,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 13 dage,84 m²,,Ejerudg.: 3.601 kr/md,4 værelser,Opført 1875,1 toilet,8000,https://www.boligsiden.dk/addresses/d077abd7-1cee-415c-938d-392133920ae0,Elevator: Nej,Altan: Ja,Terrasse: Ja,
