,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Mellemtoftevej 36,2600",3.995.000 kr.,"Hospitalsskolen , Børne og Ungdomspsykiatrisk Center",391 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke D,Høj,"24,6%",25‰.,"Der er 23.514 indbyggere i Glostrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 25‰.",Til salg i alt: 1 dag,128 m²,Grund: 388 m²,Ejerudg.: 2.889 kr/md,5 værelser,Opført 1947,1 toilet,2600,https://www.boligsiden.dk/addresses/0a3f50a4-be85-32b8-e044-0003ba298018,,,,
"Strandpromenaden 21, 1. tv.,3000",6.095.000 kr.,Skolen i Bymidten,336 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke A2015,Lav,"25,52%","28,5‰.","Der er 62.875 indbyggere i Helsingør Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 28,5‰.",Til salg i alt: 0 dag,136 m²,,Ejerudg.: 6.056 kr/md,5 værelser,Opført 2020,2 toiletter,3000,https://www.boligsiden.dk/addresses/0d5cec39-0046-4f36-9850-8c2d08933fd5,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Hjortdalvej 331,9460",3.995.000 kr.,Skovsgård Tranum skole,"5,24 km",6.9,3.6,Landejendom,Energimærke D,Meget lav,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 0 dag,173 m²,Grund: 173706 m²,Ejerudg.: 2.089 kr/md,5 værelser,Opført 1912,1 toilet,9460,https://www.boligsiden.dk/addresses/39ff92cd-f2b1-0991-e044-0003ba298018,,,,
"Lystgårdsparken 34,8300",2.798.000 kr.,Parkvejens Skole,"5,16 km",7,3.7,Villa,Energimærke B,Mellem,"25,1%","30,32‰.","Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",Til salg i alt: 180 dage,159 m²,Grund: 758 m²,Ejerudg.: 1.838 kr/md,4 værelser,Opført 2008,1 toilet,8300,https://www.boligsiden.dk/addresses/363cc2db-6e07-1eb8-e044-0003ba298018,,,,
"Fuglsøvej 92,8420",6.000.000 kr.,Molsskolen,"3,74 km",7.4,3.7,Villa,Energimærke D,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 0 dag,265 m²,Grund: 8889 m²,Ejerudg.: 3.434 kr/md,12 værelser,Opført 1884,4 toiletter,8420,https://www.boligsiden.dk/addresses/0a3f50bf-6f17-32b8-e044-0003ba298018,,,,
"Korsebjergengen 19,2630",4.195.000 kr.,Ole Rømer-Skolen,"1,5 km",5.4,3.5,Villa,Energimærke C,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 193 dage,144 m²,Grund: 954 m²,Ejerudg.: 2.934 kr/md,6 værelser,Opført 1900,2 toiletter,2630,https://www.boligsiden.dk/addresses/0a3f50a5-c475-32b8-e044-0003ba298018,,,,
"Vestervang 32, 2. tv.,2500",3.200.000 kr.,Hanssted Skole,283 m,7.3,3.8,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 124 dage,75 m²,,Ejerudg.: 4.469 kr/md,3 værelser,Opført 1935,1 toilet,2500,https://www.boligsiden.dk/addresses/0a3f50a1-9ec5-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Capellavej 45,8270",6.795.000 kr.,Rundhøjskolen,909 m,7.7,3.7,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 0 dag,133 m²,Grund: 810 m²,Ejerudg.: 4.434 kr/md,5 værelser,Opført 1966,3 toiletter,8270,https://www.boligsiden.dk/addresses/0a3f50c2-a1bc-32b8-e044-0003ba298018,,,,
"Grønkjærsvej 44,7000",2.298.000 kr.,"Erritsø Fællesskole, Krogagervej",413 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"25,5%",26‰.,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",Til salg i alt: 0 dag,148 m²,Grund: 746 m²,Ejerudg.: 2.710 kr/md,6 værelser,Opført 1970,2 toiletter,7000,https://www.boligsiden.dk/addresses/0a3f50ba-9d7d-32b8-e044-0003ba298018,,,,
"Ramsherred 31,5900",795.000 kr.,Ørstedskolen,"1,63 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke B,Høj,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 0 dag,80 m²,Grund: 197 m²,Ejerudg.: 1.092 kr/md,3 værelser,Opført 1877,1 toilet,5900,https://www.boligsiden.dk/addresses/0a3f50b5-4841-32b8-e044-0003ba298018,,,,
"Mellem Broerne 7C, 2. 1.,9400",3.795.000 kr.,Skansevejens Skole,371 m,7,3.8,Ejerlejlighed,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 1 dag,109 m²,,Ejerudg.: 4.211 kr/md,4 værelser,Opført 2007,1 toilet,9400,https://www.boligsiden.dk/addresses/1f7a7527-9eeb-403c-e044-0003ba298018,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Søtofteparken 56,3660",3.395.000 kr.,Ganløse Skole,615 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke C,Høj,"25,7%","23,98‰.","Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",Til salg i alt: 0 dag,130 m²,Grund: 226 m²,Ejerudg.: 3.589 kr/md,5 værelser,Opført 1972,2 toiletter,3660,https://www.boligsiden.dk/addresses/0a3f50aa-abef-32b8-e044-0003ba298018,,,,
"Reventlowsgade 32, 2. tv.,1651",7.000.000 kr.,Gasværksvejens Skole,469 m,8.2,3.6,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 0 dag,117 m²,,Ejerudg.: 5.914 kr/md,4 værelser,Opført 1889,1 toilet,1651,https://www.boligsiden.dk/addresses/0a3f50a0-48ee-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Dådyrvænget 605,2980",5.995.000 kr.,Kokkedal Skole,"1,49 km",7.2,3.8,Villa,Energimærke D,Høj,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 0 dag,157 m²,Grund: 701 m²,Ejerudg.: 4.264 kr/md,6 værelser,Opført 1975,2 toiletter,2980,https://www.boligsiden.dk/addresses/0a3f50aa-5371-32b8-e044-0003ba298018,,,,
"Nybro Vænge 56,2800",7.245.000 kr.,Stengård Skole,"1,29 km",8.1,3.8,Rækkehus,Energimærke C,Lav,"23,6%",23‰.,"Der er 69.259 indbyggere i Gladsaxe Kommune. Kommuneskatten er på 23,6% og grundskyldspromillen på 23‰.",Til salg i alt: 0 dag,89 m²,Grund: 268 m²,Ejerudg.: 5.008 kr/md,4 værelser,Opført 1957,1 toilet,2800,https://www.boligsiden.dk/addresses/0a3f50a4-7714-32b8-e044-0003ba298018,,,,
"Steveltvej 17,6100",1.845.000 kr.,Starup-Øsby Skole og Børnehus,"6,96 km",6.4,3.8,Villa,Energimærke C,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 0 dag,215 m²,Grund: 1562 m²,Ejerudg.: 1.706 kr/md,5 værelser,Opført 1908,2 toiletter,6100,https://www.boligsiden.dk/addresses/0a3f50b6-df13-32b8-e044-0003ba298018,,,,
"Vestergade 183B,6792",695.000 kr.,Skærbæk Distriktsskole,"15,1 km",6,3.6,Ejerlejlighed/Fritidsbolig,fejl,Meget lav,"25,3%","21,24‰.","Der er 36.849 indbyggere i Tønder Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 21,24‰.",Til salg i alt: 1 dag,71 m²,,Ejerudg.: 3.630 kr/md,3 værelser,Opført 1987,-,6792,https://www.boligsiden.dk/addresses/0a3f50b7-7a59-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
