,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Lavendelvej 20,6000",3.250.000 kr.,Lyshøjskolen,794 m,8.1,3.9,Villa,Energimærke B,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 13 dage,151 m²,Grund: 662 m²,Ejerudg.: 2.514 kr/md,6 værelser,Opført 1999,2 toiletter,6000,https://www.boligsiden.dk/addresses/0a3f50bc-1bef-32b8-e044-0003ba298018,,,,
"Harring Bro Vej 21,7752",225.000 kr.,Koldby Skole,"1,85 km",6.7,3.8,Villa,Energimærke E,Høj,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 13 dage,99 m²,Grund: 2176 m²,Ejerudg.: 878 kr/md,3 værelser,Opført 1900,1 toilet,7752,https://www.boligsiden.dk/addresses/0a3f50c6-0e4c-32b8-e044-0003ba298018,,,,
"Sv. Grathes Vej 16,8620",1.795.000 kr.,Thorning Skole,305 m,6.8,3.6,Villa,Energimærke C,Mellem,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 203 dage,240 m²,Grund: 835 m²,Ejerudg.: 1.387 kr/md,6 værelser,Opført 1965,2 toiletter,8620,https://www.boligsiden.dk/addresses/0a3f50c5-305d-32b8-e044-0003ba298018,,,,
"Blegebrøndevej 64,9690",1.995.000 kr.,Fjerritslev Skole,"6,46 km",6.4,3.6,Villa,Energimærke C,Lav,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 13 dage,218 m²,Grund: 28700 m²,Ejerudg.: 2.248 kr/md,6 værelser,Opført 1900,2 toiletter,9690,https://www.boligsiden.dk/addresses/0a3f50c7-37ee-32b8-e044-0003ba298018,,,,
"Dagvej 13,9220",3.795.000 kr.,Vejgaard Østre Skole,816 m,7.3,3.8,Villa,Energimærke B,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 13 dage,175 m²,Grund: 663 m²,Ejerudg.: 2.314 kr/md,6 værelser,Opført 2005,2 toiletter,9220,https://www.boligsiden.dk/addresses/0a3f50c9-da88-32b8-e044-0003ba298018,,,,
"Løngangstræde 21K,1468",9.100.000 kr.,Den Classenske Legatskole,317 m,8.1,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 13 dage,127 m²,,Ejerudg.: 8.701 kr/md,2 værelser,Opført 1867,2 toiletter,1468,https://www.boligsiden.dk/addresses/8e1b3df2-9575-4f3c-8389-b9eb06138d58,Elevator: Nej,Altan: Nej,Terrasse: Ja,
"Ligustervej 27,8600",1.695.000 kr.,Tollundskolen,"1,26 km",7.4,3.7,Villa,Energimærke C,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 13 dage,94 m²,Grund: 830 m²,Ejerudg.: 2.162 kr/md,3 værelser,Opført 1968,1 toilet,8600,https://www.boligsiden.dk/addresses/0a3f50c1-e874-32b8-e044-0003ba298018,,,,
"Johannevej 11,2970",8.995.000 kr.,Hørsholm Skole,313 m,8.4,3.8,Villa,Energimærke C,Lav,"23,7%","22,1‰.","Der er 24.761 indbyggere i Hørsholm Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 22,1‰.",Til salg i alt: 13 dage,185 m²,Grund: 878 m²,Ejerudg.: 7.169 kr/md,8 værelser,Opført 1954,3 toiletter,2970,https://www.boligsiden.dk/addresses/0a3f50aa-1309-32b8-e044-0003ba298018,,,,
"Kirkegade 53,7430",2.195.000 kr.,Hyldgårdsskolen,752 m,7.3,3.9,Villa,Energimærke C,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 13 dage,139 m²,Grund: 550 m²,Ejerudg.: 1.590 kr/md,4 værelser,Opført 1940,2 toiletter,7430,https://www.boligsiden.dk/addresses/0a3f50be-4b0c-32b8-e044-0003ba298018,,,,
"Slejpnersgade 6, 2. 4.,2200",2.695.000 kr.,Rådmandsgades Skole,478 m,6.1,3.7,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 13 dage,42 m²,,Ejerudg.: 2.762 kr/md,2 værelser,Opført 1938,1 toilet,2200,https://www.boligsiden.dk/addresses/0a3f50a0-b284-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
