index,By_fra_DST,Familiernes gennemsnitlige indkomst indkomst_x,antal anmeldelser,antal sigtelser,Familiernes gennemsnitlige indkomst indkomst_y,"m2 parker, sportsanlæg og rekreative omr pr indbygger",andel_dansk_opr,andel_vestlig_opr,andel_ikke_vestlig_opr,Gennemsnitlig pendligafstand
51,Slagelse,529377.0,4463.0,1569.0,529377.0,67.6,0.8665710544366153,0.029793602294693522,0.10363534326869116,30.3
52,Sorø,590300.0,1143.0,317.0,590300.0,61.0,0.9176670146137788,0.033207202505219205,0.04912578288100209,32.8
53,Stevns,596694.0,712.0,164.0,596694.0,69.1,0.9086103357861794,0.0430093884800812,0.04838027573373932,32.1
54,Vordingborg,521410.0,1741.0,542.0,521410.0,73.4,0.9002551357058022,0.04473672634496107,0.05500813794923679,36.1
57,Assens,557582.0,1345.0,346.0,557582.0,70.1,0.9097271853513074,0.05005298568154373,0.040219828967148874,27.0
58,Faaborg-Midtfyn,554228.0,1753.0,340.0,554228.0,75.0,0.9145021231016411,0.04060670976626755,0.04489116713209135,26.8
59,Kerteminde,581243.0,1021.0,509.0,581243.0,98.9,0.8978918806094761,0.03994990607388854,0.06215821331663536,25.0
60,Langeland,459718.0,397.0,119.0,459718.0,124.7,0.9009632007903186,0.057298098295875524,0.041738700913805875,29.9
61,Middelfart,644004.0,1718.0,441.0,644004.0,67.3,0.9173750340759832,0.03219251071844564,0.05043245520557112,28.9
62,Nordfyns,558571.0,1081.0,252.0,558571.0,103.9,0.9012570965125709,0.050351446336847794,0.04839145715058124,27.0
63,Nyborg,545861.0,1251.0,330.0,545861.0,72.5,0.9042341838952008,0.02756565468429875,0.06820016142050041,28.4
64,Odense,501183.0,11617.0,3200.0,501183.0,51.5,0.8229243168486814,0.04551003862845152,0.1315656445228671,23.3
65,Svendborg,547323.0,2521.0,768.0,547323.0,61.9,0.9162697417899223,0.02486838806718476,0.05886187014289296,27.4
66,Ærø,444345.0,111.0,20.0,444345.0,170.5,0.8837641493495523,0.08396688629836122,0.0322689643520865,24.5
68,Billund,611216.0,1004.0,281.0,611216.0,114.0,0.8202288531586887,0.08804591780418705,0.09172522903712425,24.1
69,Esbjerg,569060.0,6231.0,2201.0,569060.0,67.2,0.8771731963771385,0.04419266405246903,0.07863413957039248,21.6
70,Fanø,573243.0,149.0,28.0,573243.0,101.3,0.912834385332131,0.055605650736399156,0.031559963931469794,23.7
71,Fredericia,566891.0,3257.0,1074.0,566891.0,62.0,0.8588661267270129,0.04230585993330157,0.09882801333968556,23.7
72,Haderslev,546130.0,2285.0,714.0,546130.0,69.9,0.8624103481292793,0.06525391577692266,0.07233573609379798,27.2
73,Kolding,599380.0,4921.0,1813.0,599380.0,62.4,0.8497622022278449,0.04745456645214123,0.10278323132001387,25.4
74,Sønderborg,553203.0,3736.0,1964.0,553203.0,83.0,0.8256616723185214,0.08342678033424754,0.09091154734723104,22.0
75,Tønder,542091.0,1482.0,443.0,542091.0,128.6,0.8476571053207795,0.0927851981607182,0.0595576965185023,26.0
76,Varde,592282.0,1548.0,477.0,592282.0,134.1,0.8774471338604857,0.06718174684613992,0.05537111929337438,24.9
77,Vejen,594071.0,1319.0,394.0,594071.0,105.8,0.8668298939022968,0.06662003031362948,0.06655007578407368,27.1
78,Vejle,627986.0,5367.0,1705.0,627986.0,66.5,0.8395043516742883,0.06025143006998738,0.10024421825572438,27.2
79,Aabenraa,553830.0,2201.0,734.0,553830.0,79.2,0.8218888510057961,0.10869416979202182,0.06941697920218207,25.0
82,Favrskov,671767.0,1444.0,333.0,671767.0,65.0,0.9041248606465998,0.043093138745312655,0.05278200060808756,25.7
83,Hedensted,636858.0,1319.0,347.0,636858.0,83.0,0.8973389589773582,0.056813434706324675,0.04584760631631715,24.5
