,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Syltholmsgade 23,4970",695.000 kr.,Rødby Skole,"4,74 km",6,3.7,Villa/Fritidsbolig,Energimærke C,Meget høj,"26,3%","33,09‰.","Der er 40.107 indbyggere i Lolland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 33,09‰.",Til salg i alt: 38 dage,94 m²,Grund: 392 m²,Ejerudg.: 842 kr/md,4 værelser,Opført 1922,2 toiletter,4970,https://www.boligsiden.dk/addresses/0a3f50b1-253c-32b8-e044-0003ba298018,,,,
"Nykøbingvej 216,4571",1.345.000 kr.,Vig Skole,"5,01 km",6.3,3.5,Villa,Energimærke D,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 428 dage,150 m²,Grund: 1000 m²,Ejerudg.: 1.242 kr/md,5 værelser,Opført 1962,1 toilet,4571,https://www.boligsiden.dk/addresses/4eca26b5-f44a-6765-e044-0003ba298018,,,,
"Nøddehegnet 12,3480",4.995.000 kr.,Grønnevang Skole,"4,49 km",7.4,3.7,Villa,Energimærke C,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 38 dage,153 m²,Grund: 932 m²,Ejerudg.: 3.922 kr/md,4 værelser,Opført 1964,2 toiletter,3480,https://www.boligsiden.dk/addresses/0a3f50a9-c83b-32b8-e044-0003ba298018,,,,
"Skovbakkevej 24,9000",10.475.000 kr.,Stolpedalsskolen,"1,04 km",8.3,3.9,Villa,Energimærke E,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 322 dage,248 m²,Grund: 926 m²,Ejerudg.: 5.310 kr/md,6 værelser,Opført 1894,2 toiletter,9000,https://www.boligsiden.dk/addresses/0a3f50ca-b31d-32b8-e044-0003ba298018,,,,
"Solbakkevej 8,4793",1.675.000 kr.,Kulsbjerg Skole,"7,69 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Meget høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 38 dage,134 m²,Grund: 4923 m²,Ejerudg.: 1.929 kr/md,6 værelser,Opført 1940,2 toiletter,4793,https://www.boligsiden.dk/addresses/0a3f50af-f28f-32b8-e044-0003ba298018,,,,
"Hjejlevej 215,7451",2.295.000 kr.,Sunds Skole,814 m,7.2,3.6,Villa,Energimærke B,Mellem,"24,9%","20,53‰.","Der er 89.230 indbyggere i Herning Kommune. Kommuneskatten er på 24,9% og grundskyldspromillen på 20,53‰.",Til salg i alt: 38 dage,174 m²,Grund: 874 m²,Ejerudg.: 1.942 kr/md,6 værelser,Opført 1977,2 toiletter,7451,https://www.boligsiden.dk/addresses/0a3f50bd-7570-32b8-e044-0003ba298018,,,,
"Møllevej 4,9800",1.245.000 kr.,Hjørring Ny 10.,569 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 38 dage,88 m²,Grund: 565 m²,Ejerudg.: 1.701 kr/md,4 værelser,Opført 1925,1 toilet,9800,https://www.boligsiden.dk/addresses/0a3f50c8-2f3d-32b8-e044-0003ba298018,,,,
"Svendborgvej 46,5762",1.875.000 kr.,Vestermarkskolen,"3,21 km",7.1,3.7,Villa,Energimærke E,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 361 dage,132 m²,Grund: 1057 m²,Ejerudg.: 1.420 kr/md,3 værelser,Opført 1930,1 toilet,5762,https://www.boligsiden.dk/addresses/0a3f50b2-807f-32b8-e044-0003ba298018,,,,
"Nøttrupvej 24,7130",1.250.000 kr.,Raarup Skole,"1,92 km",6,3.8,Villa,Energimærke E,Mellem,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 38 dage,160 m²,Grund: 7835 m²,Ejerudg.: 1.988 kr/md,5 værelser,Opført 1926,1 toilet,7130,https://www.boligsiden.dk/addresses/0a3f50bb-c878-32b8-e044-0003ba298018,,,,
"Skodsborg Strandvej 77,2942",10.700.000 kr.,Ravnholm Skole,"2,56 km",8.2,3.8,Villa,Energimærke D,Mellem,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 198 dage,127 m²,Grund: 567 m²,Ejerudg.: 9.440 kr/md,5 værelser,Opført 1914,2 toiletter,2942,https://www.boligsiden.dk/addresses/0a3f50a6-ee8c-32b8-e044-0003ba298018,,,,
"Søparken 5,3200",4.995.000 kr.,Bjørnehøjskolen,"2,09 km",7.6,3.8,Villa,Energimærke A2010,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 38 dage,169 m²,Grund: 1000 m²,Ejerudg.: 3.183 kr/md,5 værelser,Opført 1969,2 toiletter,3200,https://www.boligsiden.dk/addresses/0a3f50a9-148a-32b8-e044-0003ba298018,,,,
"Vedbæksalle 64,8700",1.495.000 kr.,Østerhåbskolen,482 m,7.2,3.7,Villa,Energimærke C,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 38 dage,117 m²,Grund: 753 m²,Ejerudg.: 1.779 kr/md,4 værelser,Opført 1964,1 toilet,8700,https://www.boligsiden.dk/addresses/0a3f50bb-9ddf-32b8-e044-0003ba298018,,,,
"Brombærvej 7,7200",2.095.000 kr.,Grindsted Vestre Skole,608 m,6.8,3.7,Villa,Energimærke C,Lav,24%,"18,48‰.","Der er 26.631 indbyggere i Billund Kommune. Kommuneskatten er på 24% og grundskyldspromillen på 18,48‰.",Til salg i alt: 101 dage,168 m²,Grund: 801 m²,Ejerudg.: 1.588 kr/md,6 værelser,Opført 1967,2 toiletter,7200,https://www.boligsiden.dk/addresses/0a3f50b9-7ee2-32b8-e044-0003ba298018,,,,
"Teglgårdsvej 917, 2. tv.,3050",2.250.000 kr.,Humlebæk Skole,772 m,7.8,3.8,Ejerlejlighed,Energimærke D,Mellem,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 38 dage,97 m²,,Ejerudg.: 3.656 kr/md,3 værelser,Opført 1971,1 toilet,3050,https://www.boligsiden.dk/addresses/0a3f50a8-456d-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Tennisvej 39,9900",2.395.000 kr.,Frydenstrand - Abildvej skoleafdeling,600 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 38 dage,165 m²,Grund: 729 m²,Ejerudg.: 1.895 kr/md,4 værelser,Opført 1985,1 toilet,9900,https://www.boligsiden.dk/addresses/0a3f50c7-91a9-32b8-e044-0003ba298018,,,,
"Skovhøjen 7,7100",3.695.000 kr.,Søndermarksskolen,605 m,6.9,3.8,Villa,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 38 dage,153 m²,Grund: 842 m²,Ejerudg.: 2.381 kr/md,5 værelser,Opført 1998,2 toiletter,7100,https://www.boligsiden.dk/addresses/0a3f50bc-f2bc-32b8-e044-0003ba298018,,,,
"Flintevænget 4,3300",2.575.000 kr.,Magleblik Skole,989 m,6.7,3.6,Villa,Energimærke C,Lav,"25,7%",34‰.,"Der er 31.344 indbyggere i Halsnæs Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 34‰.",Til salg i alt: 38 dage,140 m²,Grund: 755 m²,Ejerudg.: 2.946 kr/md,4 værelser,Opført 1967,2 toiletter,3300,https://www.boligsiden.dk/addresses/0a3f50a8-7a9d-32b8-e044-0003ba298018,,,,
"Højbyvej 45B,5260",8.695.000 kr.,Højby Skole,334 m,6.9,3.6,Landejendom,Energimærke C,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 38 dage,159 m²,Grund: 58516 m²,Ejerudg.: 3.374 kr/md,5 værelser,Opført 1961,1 toilet,5260,https://www.boligsiden.dk/addresses/0c65634c-d521-30a3-e044-0003ba298018,,,,
"Kirsebærhaven 44,8520",2.295.000 kr.,Elsted Skole,926 m,8,3.7,Rækkehus,Energimærke A2010,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 38 dage,88 m²,Grund: - m²,Ejerudg.: 2.084 kr/md,3 værelser,Opført 1989,1 toilet,8520,https://www.boligsiden.dk/addresses/0a3f50c3-66dc-32b8-e044-0003ba298018,,,,
