,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Søndertoften 119,6800",2.498.000 kr.,Lykkesgårdskolen,661 m,7.1,3.8,Villa,Energimærke A2020,Lav,"25,1%","31,56‰.","Der er 49.664 indbyggere i Varde Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 31,56‰.",Til salg i alt: 60 dage,104 m²,Grund: 335 m²,Ejerudg.: 1.835 kr/md,3 værelser,Opført 2024,-,6800,https://www.boligsiden.dk/addresses/e154c880-bf43-475b-94be-5e60b95229b2,,,,
"Dalvangsvej 13, st. 4.,2600",1.850.000 kr.,"Glostrup skole, Søndervang",573 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke B,Høj,"24,6%",25‰.,"Der er 23.514 indbyggere i Glostrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 25‰.",Til salg i alt: 60 dage,49 m²,,Ejerudg.: 2.944 kr/md,2 værelser,Opført 1967,1 toilet,2600,https://www.boligsiden.dk/addresses/0a3f50a4-ab3a-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Strengevej 10,6760",3.795.000 kr.,Vittenbergskolen,"1,43 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 60 dage,220 m²,Grund: 1048 m²,Ejerudg.: 1.970 kr/md,6 værelser,Opført 2004,2 toiletter,6760,https://www.boligsiden.dk/addresses/0a3f50b9-d630-32b8-e044-0003ba298018,,,,
"Monradsvej 23,8700",1.945.000 kr.,Dagnæsskolen,881 m,7,3.8,Villa,Energimærke D,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 60 dage,134 m²,Grund: 701 m²,Ejerudg.: 1.591 kr/md,6 værelser,Opført 1965,1 toilet,8700,https://www.boligsiden.dk/addresses/0a3f50bb-7461-32b8-e044-0003ba298018,,,,
"Norgaardsvej 56,7800",1.650.000 kr.,Aakjærskolen,825 m,7.1,3.7,Villa,Energimærke C,Mellem,"25,5%","20,68‰.","Der er 45.078 indbyggere i Skive Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 20,68‰.",Til salg i alt: 60 dage,111 m²,Grund: 600 m²,Ejerudg.: 1.326 kr/md,5 værelser,Opført 1946,1 toilet,7800,https://www.boligsiden.dk/addresses/0a3f50c5-aae0-32b8-e044-0003ba298018,,,,
"Tinggårdsvænget 38,4030",4.250.000 kr.,Tune Skole,"1,9 km",6.8,3.6,Villa,Energimærke A2010,Høj,"24,42%","16,94‰.","Der er 50.818 indbyggere i Greve Kommune. Kommuneskatten er på 24,42% og grundskyldspromillen på 16,94‰.",Til salg i alt: 167 dage,136 m²,Grund: 868 m²,Ejerudg.: 3.088 kr/md,4 værelser,Opført 1982,2 toiletter,4030,https://www.boligsiden.dk/addresses/0a3f50ab-251f-32b8-e044-0003ba298018,,,,
"Rugmarken 5,9490",1.445.000 kr.,Skolecenter Jetsmark,"1,05 km",6.6,3.7,Villa,Energimærke C,Mellem,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 60 dage,144 m²,Grund: 1119 m²,Ejerudg.: 1.699 kr/md,5 værelser,Opført 1972,2 toiletter,9490,https://www.boligsiden.dk/addresses/0a3f50c8-ef8c-32b8-e044-0003ba298018,,,,
"Vestergade 40,3790",1.595.000 kr.,Svartingedal Skole,176 m,6,3.7,Villa,Energimærke C,Meget høj,"26,2%",34‰.,"Der er 39.545 indbyggere i Bornholm Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 34‰.",Til salg i alt: 60 dage,144 m²,Grund: 224 m²,Ejerudg.: 1.279 kr/md,4 værelser,Opført 1899,1 toilet,3790,https://www.boligsiden.dk/addresses/0a3f50b2-379c-32b8-e044-0003ba298018,,,,
"Løgeskov 50B,5771",2.995.000 kr.,Issø-skolen,"2,47 km",6.8,3.7,Villa,Energimærke D,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 60 dage,360 m²,Grund: 3334 m²,Ejerudg.: 2.377 kr/md,10 værelser,Opført 1878,3 toiletter,5771,https://www.boligsiden.dk/addresses/0a3f50b2-7c3c-32b8-e044-0003ba298018,,,,
"Enighedsvej 11,9382",498.000 kr.,Øster Brønderslev Centralskole,"5,03 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Mellem,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 60 dage,112 m²,Grund: 1249 m²,Ejerudg.: 1.256 kr/md,3 værelser,Opført 1968,1 toilet,9382,https://www.boligsiden.dk/addresses/0a3f50c6-e2bc-32b8-e044-0003ba298018,,,,
