,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Pladsgade 7A, 1.,6100",875.000 kr.,Fællesskolen Hammelev-Sct. Severin,256 m,6.7,3.8,Ejerlejlighed,Energimærke C,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 67 dage,73 m²,,Ejerudg.: 1.929 kr/md,3 værelser,Opført 1900,1 toilet,6100,https://www.boligsiden.dk/addresses/0a3f50b6-d3ff-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Finlandsvej 1,9500",1.695.000 kr.,Hobro Søndre Skole og MF10,"1,32 km",7,3.7,Villa,Energimærke C,Mellem,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 67 dage,172 m²,Grund: 714 m²,Ejerudg.: 1.704 kr/md,5 værelser,Opført 1969,2 toiletter,9500,https://www.boligsiden.dk/addresses/0a3f50c8-5b23-32b8-e044-0003ba298018,,,,
"Teglgårdsvej 615, 3. th.,3050",1.595.000 kr.,Humlebæk Skole,620 m,7.8,3.8,Ejerlejlighed,Energimærke D,Mellem,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 198 dage,77 m²,,Ejerudg.: 3.655 kr/md,3 værelser,Opført 1969,1 toilet,3050,https://www.boligsiden.dk/addresses/0a3f50a8-4439-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Tøvlingvej 21,7752",1.195.000 kr.,Koldby Skole,"2,55 km",6.7,3.8,Villa,Energimærke E,Høj,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 67 dage,144 m²,Grund: 3770 m²,Ejerudg.: 1.597 kr/md,5 værelser,Opført 1933,1 toilet,7752,https://www.boligsiden.dk/addresses/0a3f50c6-3693-32b8-e044-0003ba298018,,,,
"Fallesgårdevej 17,7470",3.395.000 kr.,Frederiks Skole,"3,05 km",6.7,3.6,Landejendom/Villa,Energimærke B,Lav,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 778 dage,197 m²,Grund: 14820 m²,Ejerudg.: 2.441 kr/md,5 værelser,Opført 2007,2 toiletter,7470,https://www.boligsiden.dk/addresses/0a3f50c5-137b-32b8-e044-0003ba298018,,,,
"Gøgevænget 18,3390",2.195.000 kr.,Hundested Skole,223 m,6.6,3.6,Villa,Energimærke C,Mellem,"25,7%",34‰.,"Der er 31.344 indbyggere i Halsnæs Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 34‰.",Til salg i alt: 67 dage,168 m²,Grund: 869 m²,Ejerudg.: 2.295 kr/md,4 værelser,Opført 1973,2 toiletter,3390,https://www.boligsiden.dk/addresses/0a3f50a9-ed12-32b8-e044-0003ba298018,,,,
"Vigerslevvej 39, st. th.,2500",4.750.000 kr.,Ålholm Skole,356 m,6.6,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 193 dage,147 m²,,Ejerudg.: 5.141 kr/md,6 værelser,Opført 1931,2 toiletter,2500,https://www.boligsiden.dk/addresses/0a3f50a1-ab14-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Assensvej 518,5642",4.295.000 kr.,Brahesminde Skole,"5,26 km",6.5,3.8,Villa,Energimærke A2010,Høj,"26,1%","22,85‰.","Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",Til salg i alt: 66 dage,291 m²,Grund: 1329 m²,Ejerudg.: 1.931 kr/md,6 værelser,Opført 1662,3 toiletter,5642,https://www.boligsiden.dk/addresses/0a3f50b2-99d8-32b8-e044-0003ba298018,,,,
"Skaffervej 3, st.,2400",5.245.000 kr.,Tagensbo Skole,472 m,5.8,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 66 dage,120 m²,,Ejerudg.: 6.233 kr/md,4 værelser,Opført 1935,2 toiletter,2400,https://www.boligsiden.dk/addresses/0a3f50a0-a1fb-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Åbovænge 26,2610",4.495.000 kr.,Islev Skole,343 m,6.9,3.6,Villa,Energimærke C,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 67 dage,109 m²,Grund: 306 m²,Ejerudg.: 3.590 kr/md,4 værelser,Opført 1970,2 toiletter,2610,https://www.boligsiden.dk/addresses/0a3f50a6-c47c-32b8-e044-0003ba298018,,,,
