,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Gadeledsvej 32,3400",6.795.000 kr.,Sophienborgskolen,"2,45 km",8.6,3.8,Villa,Energimærke D,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 74 dage,200 m²,Grund: 1075 m²,Ejerudg.: 4.328 kr/md,4 værelser,Opført 1942,2 toiletter,3400,https://www.boligsiden.dk/addresses/0a3f50a9-aedd-32b8-e044-0003ba298018,,,,
"Verdisvej 4,4200",3.695.000 kr.,Marievangsskolen,994 m,6.8,3.7,Villa,Energimærke A2015,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 74 dage,143 m²,Grund: 783 m²,Ejerudg.: 2.978 kr/md,4 værelser,Opført 2022,2 toiletter,4200,https://www.boligsiden.dk/addresses/1b5aba81-121a-4380-b2cc-bba4cdb488c7,,,,
"Teglporten 4, 1. 9.,3460",1.595.000 kr.,Søholmskolen,111 m,7.9,3.7,Ejerlejlighed,Energimærke D,Mellem,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 100 dage,52 m²,,Ejerudg.: 3.771 kr/md,2 værelser,Opført 1972,1 toilet,3460,https://www.boligsiden.dk/addresses/0a3f50a7-fec0-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Vestermarksvej 14,8464",2.798.000 kr.,Gyvelhøjskolen,"2,14 km",7.2,3.7,Villa,Energimærke E,Mellem,26%,"24,66‰.","Der er 64.318 indbyggere i Skanderborg Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 24,66‰.",Til salg i alt: 74 dage,221 m²,Grund: 1292 m²,Ejerudg.: 2.631 kr/md,6 værelser,Opført 1800,2 toiletter,8464,https://www.boligsiden.dk/addresses/0a3f50bf-aeac-32b8-e044-0003ba298018,,,,
"Maglevænget 10,2920",15.995.000 kr.,Maglegårdsskolen,628 m,8.1,3.9,Rækkehus,Energimærke C,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 74 dage,164 m²,Grund: 274 m²,Ejerudg.: 10.951 kr/md,6 værelser,Opført 1929,3 toiletter,2920,https://www.boligsiden.dk/addresses/0a3f50a3-e315-32b8-e044-0003ba298018,,,,
"Søndersthovedvej 4,7323",1.295.000 kr.,"Firkløverskolen, Elkjær","3,4 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke D,Lav,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 74 dage,112 m²,Grund: 50843 m²,Ejerudg.: 2.847 kr/md,4 værelser,Opført 1942,1 toilet,7323,https://www.boligsiden.dk/addresses/0a3f50bb-0bda-32b8-e044-0003ba298018,,,,
"Nordborggade 27, 1. th.,8000",1.895.000 kr.,Læssøesgades Skole,306 m,6.4,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 74 dage,58 m²,,Ejerudg.: 2.531 kr/md,2 værelser,Opført 1960,1 toilet,8000,https://www.boligsiden.dk/addresses/0a3f50c3-b83e-32b8-e044-0003ba298018,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Rødhøjgårdsvej 96,2630",4.150.000 kr.,Mølleholmskolen,469 m,6.4,3.6,Villa,Energimærke C,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 74 dage,149 m²,Grund: 742 m²,Ejerudg.: 3.403 kr/md,5 værelser,Opført 1974,2 toiletter,2630,https://www.boligsiden.dk/addresses/0a3f50a5-db6d-32b8-e044-0003ba298018,,,,
"Filipsdalvej 4,4480",3.095.000 kr.,Gørlev Skole,"3,74 km",5.6,3.5,Landejendom,Energimærke C,Høj,"24,2%",34‰.,"Der er 48.368 indbyggere i Kalundborg Kommune. Kommuneskatten er på 24,2% og grundskyldspromillen på 34‰.",Til salg i alt: 74 dage,183 m²,Grund: 32499 m²,Ejerudg.: 3.037 kr/md,6 værelser,Opført 1900,2 toiletter,4480,https://www.boligsiden.dk/addresses/0a3f50ac-e964-32b8-e044-0003ba298018,,,,
"Jeppes Torp 3,4300",2.795.000 kr.,Bjergmarkskolen,"1,94 km",6.8,3.7,Villa,Energimærke C,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 74 dage,141 m²,Grund: 817 m²,Ejerudg.: 3.059 kr/md,5 værelser,Opført 1977,2 toiletter,4300,https://www.boligsiden.dk/addresses/0a3f50ad-4145-32b8-e044-0003ba298018,,,,
"Havremarken 17,6000",2.395.000 kr.,Lyshøjskolen,325 m,8.1,3.9,Villa,Energimærke C,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 74 dage,132 m²,Grund: 318 m²,Ejerudg.: 1.995 kr/md,4 værelser,Opført 1986,1 toilet,6000,https://www.boligsiden.dk/addresses/0a3f50bc-0592-32b8-e044-0003ba298018,,,,
"Vandværksvej 1A,9620",1.695.000 kr.,Aalestrup Skole,909 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"26,3%","22,82‰.","Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",Til salg i alt: 74 dage,125 m²,Grund: 1024 m²,Ejerudg.: 1.197 kr/md,4 værelser,Opført 1975,1 toilet,9620,https://www.boligsiden.dk/addresses/0a3f50c6-b841-32b8-e044-0003ba298018,,,,
"Kastelvej 50,5370",1.395.000 kr.,Mesingeskolen,"1,94 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Mellem,"26,1%","30,3‰.","Der er 24.034 indbyggere i Kerteminde Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 30,3‰.",Til salg i alt: 74 dage,108 m²,Grund: 2007 m²,Ejerudg.: 1.932 kr/md,5 værelser,Opført 1925,1 toilet,5370,https://www.boligsiden.dk/addresses/0a3f50b2-f00c-32b8-e044-0003ba298018,,,,
"Peter Willemoes Vej 40,9900",595.000 kr.,Nordstjerneskolen,475 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 74 dage,143 m²,Grund: 643 m²,Ejerudg.: 1.590 kr/md,5 værelser,Opført 1962,2 toiletter,9900,https://www.boligsiden.dk/addresses/0a3f50c7-7d4b-32b8-e044-0003ba298018,,,,
"Nørre Alle 9,5610",595.000 kr.,Peter Willemoesskolen,185 m,6.6,3.6,Rækkehus,Energimærke C,Mellem,"26,1%","22,12‰.","Der er 40.972 indbyggere i Assens Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,12‰.",Til salg i alt: 74 dage,63 m²,Grund: 81 m²,Ejerudg.: 970 kr/md,4 værelser,Opført 1888,1 toilet,5610,https://www.boligsiden.dk/addresses/0a3f50b2-4dc2-32b8-e044-0003ba298018,,,,
