,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Steenbjerg 13,6070",3.145.000 kr.,Christiansfeld Skole,"1,43 km",6.6,3.8,Villa,Energimærke A2010,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 5 dage,163 m²,Grund: 1100 m²,Ejerudg.: 2.128 kr/md,5 værelser,Opført 2008,2 toiletter,6070,https://www.boligsiden.dk/addresses/48284790-bd32-61c5-e044-0003ba298018,,,,
"Johannes V. Jensens Vej 32,9200",2.995.000 kr.,Sofiendalskolen,689 m,6.7,3.7,Villa,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 5 dage,154 m²,Grund: 790 m²,Ejerudg.: 2.337 kr/md,6 værelser,Opført 1967,2 toiletter,9200,https://www.boligsiden.dk/addresses/0a3f50ca-313b-32b8-e044-0003ba298018,,,,
"Ejboparken 57, st. mf.,4000",1.195.000 kr.,Tjørnegårdskolen,623 m,6.7,3.8,Ejerlejlighed,Energimærke C,Høj,"25,2%","25,69‰.","Der er 89.447 indbyggere i Roskilde Kommune. Kommuneskatten er på 25,2% og grundskyldspromillen på 25,69‰.",Til salg i alt: 5 dage,43 m²,,Ejerudg.: 2.743 kr/md,1 værelser,Opført 1968,1 toilet,4000,https://www.boligsiden.dk/addresses/0a3f50ab-d26c-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Ejbyvej 67,4623",2.995.000 kr.,Ejby Skole,864 m,7.2,3.8,Villa,Energimærke C,Meget høj,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 5 dage,75 m²,Grund: 790 m²,Ejerudg.: 2.376 kr/md,3 værelser,Opført 1827,1 toilet,4623,https://www.boligsiden.dk/addresses/0a3f50ac-3958-32b8-e044-0003ba298018,,,,
"Helnæsvej 60,5683",2.095.000 kr.,Ebberup Skole,"4,02 km",7,3.7,Villa/Fritidsbolig,Energimærke G,Høj,"26,1%","22,12‰.","Der er 40.972 indbyggere i Assens Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,12‰.",Til salg i alt: 5 dage,134 m²,Grund: 1398 m²,Ejerudg.: 2.023 kr/md,5 værelser,Opført 1800,1 toilet,5683,https://www.boligsiden.dk/addresses/0a3f50b2-deb1-32b8-e044-0003ba298018,,,,
"Lænkebjerg 30,6100",1.795.000 kr.,Fællesskolen Hammelev-Sct. Severin,806 m,6.7,3.8,Villa,Energimærke C,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 5 dage,160 m²,Grund: 936 m²,Ejerudg.: 1.856 kr/md,5 værelser,Opført 1973,2 toiletter,6100,https://www.boligsiden.dk/addresses/0a3f50b6-cbd5-32b8-e044-0003ba298018,,,,
"Fyrrelunden 20,6051",1.495.000 kr.,Alminde-Viuf Fællesskole,254 m,7.4,3.8,Rækkehus,Energimærke D,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 5 dage,84 m²,Grund: 251 m²,Ejerudg.: 1.791 kr/md,2 værelser,Opført 1974,2 toiletter,6051,https://www.boligsiden.dk/addresses/0a3f50bb-fd0f-32b8-e044-0003ba298018,,,,
"Vesterbro 110, 2.,5000",1.995.000 kr.,Vestre Skole,154 m,7.3,3.7,Ejerlejlighed,Energimærke E,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 5 dage,78 m²,,Ejerudg.: 1.437 kr/md,2 værelser,Opført 1898,1 toilet,5000,https://www.boligsiden.dk/addresses/0a3f50b4-ece5-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Teglgaardsvej 97,8300",2.098.000 kr.,Parkvejens Skole,"3,48 km",7,3.7,Villa,Energimærke B,Mellem,"25,1%","30,32‰.","Der er 23.304 indbyggere i Odder Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 30,32‰.",Til salg i alt: 233 dage,197 m²,Grund: 837 m²,Ejerudg.: 2.943 kr/md,7 værelser,Opført 1969,2 toiletter,8300,https://www.boligsiden.dk/addresses/0a3f50c0-b8db-32b8-e044-0003ba298018,,,,
"Højenhald 12, 1. th.,2700",2.450.000 kr.,Bellahøj Skole,67 m,6.8,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 5 dage,62 m²,,Ejerudg.: 2.947 kr/md,2 værelser,Opført 1933,1 toilet,2700,https://www.boligsiden.dk/addresses/0a3f509e-e040-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Ægirsgade 17, 3. tv.,2200",3.499.000 kr.,Rådmandsgades Skole,326 m,6.1,3.7,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 5 dage,53 m²,,Ejerudg.: 4.512 kr/md,2 værelser,Opført 1903,1 toilet,2200,https://www.boligsiden.dk/addresses/0a3f50a1-cc76-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Gyden 1,6440",1.895.000 kr.,Fynshav Børneunivers,589 m,6.1,3.8,Villa,Energimærke C,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 484 dage,378 m²,Grund: 1978 m²,Ejerudg.: 2.613 kr/md,7 værelser,Opført 1900,3 toiletter,6440,https://www.boligsiden.dk/addresses/0a3f50b6-3f80-32b8-e044-0003ba298018,,,,
"Betty Nansens Alle 33, 2. tv.,2000",7.145.000 kr.,Søndermarkskolen,536 m,7.4,3.7,Ejerlejlighed,Energimærke C,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 5 dage,140 m²,,Ejerudg.: 6.910 kr/md,4 værelser,Opført 1976,2 toiletter,2000,https://www.boligsiden.dk/addresses/0a3f50a2-12ae-32b8-e044-0003ba298018,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Johannes Ewalds Vej 66A,8230",3.998.000 kr.,Gammelgaardsskolen,633 m,7.9,3.8,Rækkehus,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 5 dage,108 m²,Grund: 308 m²,Ejerudg.: 2.728 kr/md,4 værelser,Opført 1984,1 toilet,8230,https://www.boligsiden.dk/addresses/0a3f50c3-4f7d-32b8-e044-0003ba298018,,,,
