,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Vøjstrupvej 15,5672",1.695.000 kr.,Brobyskolerne,"3,36 km",6.9,3.6,Villa,Energimærke B,Høj,"26,1%","22,85‰.","Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",Til salg i alt: 861 dage,150 m²,Grund: 3219 m²,Ejerudg.: 1.442 kr/md,4 værelser,Opført 1827,1 toilet,5672,https://www.boligsiden.dk/addresses/0a3f50b2-7285-32b8-e044-0003ba298018,,,,
"Juels Alle 11,6760",3.598.000 kr.,Ansgarskolen,"1,45 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke A2015,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 5 dage,181 m²,Grund: 1033 m²,Ejerudg.: 2.188 kr/md,6 værelser,Opført 2016,2 toiletter,6760,https://www.boligsiden.dk/addresses/153d0134-cc4f-450a-97e0-07f46f594f9f,,,,
"Bavnehøjvej 6,7850",2.195.000 kr.,Stoholm Skole,"3,92 km",6.7,3.6,Villa,Energimærke A2010,Meget lav,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 5 dage,195 m²,Grund: 2225 m²,Ejerudg.: 1.490 kr/md,5 værelser,Opført 1890,2 toiletter,7850,https://www.boligsiden.dk/addresses/0a3f50c4-e619-32b8-e044-0003ba298018,,,,
"Bakketoppen 4C,3450",3.695.000 kr.,Blovstrød Skole,297 m,8.4,3.9,Rækkehus,Energimærke A2010,Høj,"25,3%","23,8‰.","Der er 25.867 indbyggere i Allerød Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 23,8‰.",Til salg i alt: 5 dage,96 m²,Grund: 164 m²,Ejerudg.: 3.991 kr/md,4 værelser,Opført 1999,2 toiletter,3450,https://www.boligsiden.dk/addresses/0a3f50a7-b402-32b8-e044-0003ba298018,,,,
"Perlestien 3,4220",1.795.000 kr.,Broskolen,817 m,6.1,3.7,Villa,Energimærke C,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 5 dage,200 m²,Grund: 1115 m²,Ejerudg.: 2.248 kr/md,6 værelser,Opført 1976,2 toiletter,4220,https://www.boligsiden.dk/addresses/0a3f50ad-e8a6-32b8-e044-0003ba298018,,,,
"Præstebrovej 32,4300",1.795.000 kr.,Gislinge Skole,"4,71 km",6,3.7,Villa,Energimærke D,Høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 174 dage,119 m²,Grund: 833 m²,Ejerudg.: 1.773 kr/md,3 værelser,Opført 1950,1 toilet,4300,https://www.boligsiden.dk/addresses/0a3f50ad-5e16-32b8-e044-0003ba298018,,,,
"Kildebakkevej 28,4690",2.075.000 kr.,"Ny-Øst, Bavneskolen",452 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,8%",25‰.,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",Til salg i alt: 5 dage,131 m²,Grund: 710 m²,Ejerudg.: 2.045 kr/md,4 værelser,Opført 1989,2 toiletter,4690,https://www.boligsiden.dk/addresses/0a3f50b1-2d2d-32b8-e044-0003ba298018,,,,
"Carl Plougs Vej 9, 4.,1913",11.995.000 kr.,Skolen ved Søerne,178 m,7.8,3.7,Ejerlejlighed,Energimærke D,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 5 dage,159 m²,,Ejerudg.: 8.795 kr/md,6 værelser,Opført 1902,1 toilet,1913,https://www.boligsiden.dk/addresses/0a3f50a2-1f41-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Stokbrovej 58,8520",3.848.000 kr.,Lystrup Skole,"1,89 km",7.8,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 5 dage,127 m²,Grund: 947 m²,Ejerudg.: 2.676 kr/md,4 værelser,Opført 1973,1 toilet,8520,https://www.boligsiden.dk/addresses/0a3f50c4-5bb9-32b8-e044-0003ba298018,,,,
"Ørbækvej 258,5892",1.595.000 kr.,Stokkebækskolen,"2,23 km",7,3.7,Villa,Energimærke F,Høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 325 dage,269 m²,Grund: 4480 m²,Ejerudg.: 2.360 kr/md,7 værelser,Opført 1924,2 toiletter,5892,https://www.boligsiden.dk/addresses/22729a66-a3e2-44d0-e044-0003ba298018,,,,
"Skovkanten 29,9520",5.495.000 kr.,Skørping Skole,"2,18 km",7.8,3.7,Villa,Energimærke A2015,Meget lav,"25,33%","26,09‰.","Der er 30.646 indbyggere i Rebild Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 26,09‰.",Til salg i alt: 5 dage,194 m²,Grund: 1087 m²,Ejerudg.: 3.336 kr/md,6 værelser,Opført 2025,-,9520,https://www.boligsiden.dk/addresses/52709050-7a6c-4fa6-bf0d-782c0d31c614,,,,
"Smedevænget 6,6500",795.000 kr.,Ungeuniverset-Vojens,141 m,6.3,3.6,Villa,Energimærke D,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 5 dage,139 m²,Grund: 1106 m²,Ejerudg.: 1.582 kr/md,5 værelser,Opført 1935,2 toiletter,6500,https://www.boligsiden.dk/addresses/0a3f50b8-1bb8-32b8-e044-0003ba298018,,,,
"Kildevænget 36,3320",2.195.000 kr.,Kornmarkskolen,"2,75 km",7.1,3.7,Villa,Energimærke D,Høj,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 5 dage,133 m²,Grund: 866 m²,Ejerudg.: 2.232 kr/md,5 værelser,Opført 1978,2 toiletter,3320,https://www.boligsiden.dk/addresses/0a3f50aa-8349-32b8-e044-0003ba298018,,,,
"Vindeby Lærkevej 14,5700",1.945.000 kr.,Tåsingeskolen,438 m,7.2,3.7,Villa,Energimærke E,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 5 dage,130 m²,Grund: 780 m²,Ejerudg.: 2.065 kr/md,5 værelser,Opført 1962,1 toilet,5700,https://www.boligsiden.dk/addresses/0a3f50b5-8970-32b8-e044-0003ba298018,,,,
"Ligustervej 9,8600",3.195.000 kr.,Tollundskolen,"1,08 km",7.4,3.7,Villa,Energimærke C,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 180 dage,210 m²,Grund: 1094 m²,Ejerudg.: 2.439 kr/md,5 værelser,Opført 1974,2 toiletter,8600,https://www.boligsiden.dk/addresses/0a3f50c1-e867-32b8-e044-0003ba298018,,,,
"Malerivej 3,4293",2.095.000 kr.,Holbergskolen,"1,75 km",6.4,3.5,Rækkehus,Energimærke B,Meget høj,"26,3%","25,74‰.","Der er 30.018 indbyggere i Sorø Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 25,74‰.",Til salg i alt: 5 dage,116 m²,Grund: 291 m²,Ejerudg.: 1.675 kr/md,2 værelser,Opført 2010,1 toilet,4293,https://www.boligsiden.dk/addresses/60785193-d547-2e8d-e044-0003ba298018,,,,
"Snogekær 44E,3630",2.375.000 kr.,Jægerspris Skole,390 m,6.8,3.6,Villa,Energimærke C,Mellem,"25,8%","32,5‰.","Der er 45.800 indbyggere i Frederikssund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,5‰.",Til salg i alt: 5 dage,98 m²,Grund: 133 m²,Ejerudg.: 2.240 kr/md,3 værelser,Opført 2009,1 toilet,3630,https://www.boligsiden.dk/addresses/374230b7-15b0-51c5-e044-0003ba298018,,,,
"Lehwaldsvej 5, 3. h.,2800",2.500.000 kr.,Engelsborgskolen,616 m,8.5,3.8,Ejerlejlighed,Energimærke C,Lav,"24,38%","21,49‰.","Der er 57.826 indbyggere i Lyngby-Taarbæk Kommune. Kommuneskatten er på 24,38% og grundskyldspromillen på 21,49‰.",Til salg i alt: 5 dage,68 m²,,Ejerudg.: 3.752 kr/md,2 værelser,Opført 1962,1 toilet,2800,https://www.boligsiden.dk/addresses/0a3f50a6-4719-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Dalkærvej 18,4760",1.145.000 kr.,"Gåsetårnskolen, Kastrup afdeling","3,39 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke C,Høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 401 dage,181 m²,Grund: 701 m²,Ejerudg.: 1.500 kr/md,8 værelser,Opført 1964,1 toilet,4760,https://www.boligsiden.dk/addresses/0a3f50b1-a970-32b8-e044-0003ba298018,,,,
"Rundholtsvej 28, 11. 4.,2300",11.300.000 kr.,Skolen i Sydhavnen,776 m,7.7,3.7,Ejerlejlighed,Energimærke A2010,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 5 dage,114 m²,,Ejerudg.: 6.759 kr/md,3 værelser,Opført 2014,1 toilet,2300,https://www.boligsiden.dk/addresses/c4c9e349-36e9-4ff4-a839-a42992f82530,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Frederiksborgvej 38A, st. 3.,4000",1.850.000 kr.,Klostermarksskolen,837 m,8.1,3.8,Ejerlejlighed,Energimærke C,Høj,"25,2%","25,69‰.","Der er 89.447 indbyggere i Roskilde Kommune. Kommuneskatten er på 25,2% og grundskyldspromillen på 25,69‰.",Til salg i alt: 5 dage,52 m²,,Ejerudg.: 2.536 kr/md,1 værelser,Opført 1967,1 toilet,4000,https://www.boligsiden.dk/addresses/0a3f50ab-d676-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Skolevej 1,8800",4.995.000 kr.,Overlund Skole,99 m,7.8,3.8,Villa,Energimærke C,Høj,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 349 dage,199 m²,Grund: 985 m²,Ejerudg.: 2.199 kr/md,3 værelser,Opført 1935,1 toilet,8800,https://www.boligsiden.dk/addresses/0a3f50c6-9595-32b8-e044-0003ba298018,,,,
"Skebjergvej 11,2765",6.395.000 kr.,Boesagerskolen,"1,16 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,7%","23,98‰.","Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",Til salg i alt: 5 dage,198 m²,Grund: 982 m²,Ejerudg.: 3.944 kr/md,7 værelser,Opført 1960,2 toiletter,2765,https://www.boligsiden.dk/addresses/0a3f50a6-0800-32b8-e044-0003ba298018,,,,
"Egelykkeparken 4, 1. th.,2670",2.395.000 kr.,Arenaskolen,540 m,6,3.6,Ejerlejlighed,Energimærke C,Høj,"24,42%","16,94‰.","Der er 50.818 indbyggere i Greve Kommune. Kommuneskatten er på 24,42% og grundskyldspromillen på 16,94‰.",Til salg i alt: 5 dage,82 m²,,Ejerudg.: 3.525 kr/md,3 værelser,Opført 2000,1 toilet,2670,https://www.boligsiden.dk/addresses/0a3f50aa-ea96-32b8-e044-0003ba298018,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Østre Stationsvej 37L, 5. 2.,5000",2.297.000 kr.,Vestre Skole,908 m,7.3,3.7,Ejerlejlighed,Energimærke A2010,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 5 dage,82 m²,,Ejerudg.: 3.289 kr/md,3 værelser,Opført 2017,1 toilet,5000,https://www.boligsiden.dk/addresses/dfc707fc-bac4-428b-a5ec-10954eb843c4,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Rønnevangsparken 28,8751",2.145.000 kr.,Gedved Skole,"1,14 km",7.1,3.8,Villa,Energimærke B,Mellem,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 5 dage,108 m²,Grund: 415 m²,Ejerudg.: 1.639 kr/md,4 værelser,Opført 2009,1 toilet,8751,https://www.boligsiden.dk/addresses/4eca26b5-f8b0-6765-e044-0003ba298018,,,,
"Flittig Lise Vej 2,5250",2.475.000 kr.,Skt Klemensskolen,"1,53 km",7.4,3.7,Villa,Energimærke C,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 209 dage,181 m²,Grund: 885 m²,Ejerudg.: 2.376 kr/md,4 værelser,Opført 1971,1 toilet,5250,https://www.boligsiden.dk/addresses/0a3f50b3-db4c-32b8-e044-0003ba298018,,,,
"Johan Kellers Vej 36, 2. th.,2450",2.850.000 kr.,Bavnehøj Skole,273 m,6,3.8,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 5 dage,59 m²,,Ejerudg.: 3.832 kr/md,2 værelser,Opført 1936,1 toilet,2450,https://www.boligsiden.dk/addresses/0a3f509f-0a45-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Holmegaardsvej 50,4684",1.245.000 kr.,"Holmegaardskolen, afd. Fensmark",104 m,6.8,3.6,Villa,Energimærke D,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 5 dage,125 m²,Grund: 654 m²,Ejerudg.: 1.704 kr/md,4 værelser,Opført 1900,1 toilet,4684,https://www.boligsiden.dk/addresses/0a3f50af-a2ad-32b8-e044-0003ba298018,,,,
"Hobro Landevej 108,8830",545.000 kr.,Ørum Skole,"5,53 km",6.8,3.7,Villa,Energimærke E,Høj,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 209 dage,160 m²,Grund: 480 m²,Ejerudg.: 1.016 kr/md,6 værelser,Opført 1932,1 toilet,8830,https://www.boligsiden.dk/addresses/0a3f50c6-424b-32b8-e044-0003ba298018,,,,
"Vestergade 20,4330",2.995.000 kr.,Hvalsø Skole,495 m,7.5,3.7,Villa,Energimærke C,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 5 dage,130 m²,Grund: 1204 m²,Ejerudg.: 2.745 kr/md,3 værelser,Opført 1960,1 toilet,4330,https://www.boligsiden.dk/addresses/0a3f50ab-55b0-32b8-e044-0003ba298018,,,,
"Husebyvej 33,3200",6.995.000 kr.,Ramløse Skole,"2,29 km",6.9,3.7,Landejendom,Energimærke F,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 5 dage,285 m²,Grund: 112882 m²,Ejerudg.: 3.315 kr/md,9 værelser,Opført 1927,3 toiletter,3200,https://www.boligsiden.dk/addresses/f4f57b07-f807-4b08-99fe-771fef60cb07,,,,
"Hirsevænget 16,4681",2.995.000 kr.,Herfølge Skole,761 m,6.8,3.7,Villa,Energimærke D,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 5 dage,120 m²,Grund: 840 m²,Ejerudg.: 2.104 kr/md,4 værelser,Opført 1975,2 toiletter,4681,https://www.boligsiden.dk/addresses/0a3f50ab-6d82-32b8-e044-0003ba298018,,,,
"Kattesundet 13,4880",1.800.000 kr.,Nysted Skole,524 m,6.5,3.6,Rækkehus/Fritidsbolig,Energimærke B,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 5 dage,160 m²,Grund: 390 m²,Ejerudg.: 1.302 kr/md,6 værelser,Opført 1874,2 toiletter,4880,https://www.boligsiden.dk/addresses/0a3f50b0-5b23-32b8-e044-0003ba298018,,,,
"Ville Heise Park 18,3450",4.775.000 kr.,Lillevang Skole,285 m,8,3.8,Rækkehus,Energimærke B,Høj,"25,3%","23,8‰.","Der er 25.867 indbyggere i Allerød Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 23,8‰.",Til salg i alt: 5 dage,135 m²,Grund: 231 m²,Ejerudg.: 4.636 kr/md,5 værelser,Opført 1998,2 toiletter,3450,https://www.boligsiden.dk/addresses/0a3f50a7-d807-32b8-e044-0003ba298018,,,,
"Falkevej 9,8723",1.845.000 kr.,Stjernevejskolen,"3,48 km",7.5,3.8,Villa,Energimærke D,Meget høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 5 dage,140 m²,Grund: 929 m²,Ejerudg.: 1.832 kr/md,3 værelser,Opført 1979,3 toiletter,8723,https://www.boligsiden.dk/addresses/0a3f50bb-16cd-32b8-e044-0003ba298018,,,,
"Bjergerlav 9,2791",3.695.000 kr.,Dragør Skole,104 m,8.1,3.8,Rækkehus,Energimærke D,Mellem,"24,8%","24,47‰.","Der er 14.640 indbyggere i Dragør Kommune. Kommuneskatten er på 24,8% og grundskyldspromillen på 24,47‰.",Til salg i alt: 5 dage,62 m²,Grund: 67 m²,Ejerudg.: 2.153 kr/md,2 værelser,Opført 1770,1 toilet,2791,https://www.boligsiden.dk/addresses/0a3f50a3-81da-32b8-e044-0003ba298018,,,,
"Torvet 2F, 2. th.,9492",3.425.000 kr.,Skolecenter Jetsmark,"7,16 km",6.6,3.7,Ejerlejlighed/Villalejlighed,Energimærke A2015,Mellem,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 5 dage,106 m²,,Ejerudg.: 3.806 kr/md,3 værelser,Opført 2022,1 toilet,9492,https://www.boligsiden.dk/addresses/4e09420a-4704-4853-972a-1153b7060eaf,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Skaarupvej 71,9610",895.000 kr.,Sortebakkeskolen,"9,18 km",6.9,3.7,Villa,Energimærke D,Mellem,"25,33%","26,09‰.","Der er 30.646 indbyggere i Rebild Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 26,09‰.",Til salg i alt: 5 dage,110 m²,Grund: 6860 m²,Ejerudg.: 1.302 kr/md,4 værelser,Opført 1877,1 toilet,9610,https://www.boligsiden.dk/addresses/0a3f50c8-c935-32b8-e044-0003ba298018,,,,
