,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Hjulmagervej 2,9300",2.298.000 kr.,Sæby Skole,348 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 55 dage,260 m²,Grund: 1050 m²,Ejerudg.: 2.316 kr/md,5 værelser,Opført 1986,3 toiletter,9300,https://www.boligsiden.dk/addresses/0a3f50c9-7f75-32b8-e044-0003ba298018,,,,
"Fuglsang Allé 56,7000",3.545.000 kr.,Erritsø Fællesskole,"2,16 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke A2015,Høj,"25,5%",26‰.,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",Til salg i alt: 55 dage,156 m²,Grund: 828 m²,Ejerudg.: 2.670 kr/md,5 værelser,Opført 2022,-,7000,https://www.boligsiden.dk/addresses/d3a3a1cf-8764-48b2-8b9a-e7abe150c8f2,,,,
"Spodsbjergvej 239,5900",795.000 kr.,Humble Skole,"11,4 km",6.1,3.7,Villa/Fritidsbolig,Energimærke D,Høj,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 55 dage,117 m²,Grund: 1365 m²,Ejerudg.: 1.240 kr/md,5 værelser,Opført 1716,1 toilet,5900,https://www.boligsiden.dk/addresses/0a3f50b5-4bf7-32b8-e044-0003ba298018,,,,
"Lemtorpvej 27,7620",4.500.000 kr.,Lemtorpskolen,928 m,7.5,3.9,Villa,Energimærke C,Mellem,"25,46%",28‰.,"Der er 19.398 indbyggere i Lemvig Kommune. Kommuneskatten er på 25,46% og grundskyldspromillen på 28‰.",Til salg i alt: 55 dage,198 m²,Grund: 7825 m²,Ejerudg.: 3.686 kr/md,6 værelser,Opført 1898,2 toiletter,7620,https://www.boligsiden.dk/addresses/0a3f50be-760f-32b8-e044-0003ba298018,,,,
"Nordre Digevej 38,2300",6.495.000 kr.,Dyvekeskolen,539 m,5.5,3.8,Rækkehus,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 55 dage,124 m²,Grund: 156 m²,Ejerudg.: 4.912 kr/md,4 værelser,Opført 2005,2 toiletter,2300,https://www.boligsiden.dk/addresses/0a3f509f-cf17-32b8-e044-0003ba298018,,,,
"Fænøsund Park 12, 2. tv.,5500",2.995.000 kr.,Vestre Skole,874 m,7.1,3.8,Ejerlejlighed,Energimærke A2010,Høj,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 55 dage,111 m²,,Ejerudg.: 3.387 kr/md,3 værelser,Opført 2008,2 toiletter,5500,https://www.boligsiden.dk/addresses/39ff92cd-eb8e-0991-e044-0003ba298018,Elevator: Ja,Altan: Nej,Terrasse: Nej,
"Bellisvej 10,4700",2.495.000 kr.,"Ellebækskolen, afd. Kalbyris",881 m,6.5,3.7,Villa,Energimærke C,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 55 dage,171 m²,Grund: 751 m²,Ejerudg.: 2.102 kr/md,4 værelser,Opført 1963,2 toiletter,4700,https://www.boligsiden.dk/addresses/0a3f50b0-666a-32b8-e044-0003ba298018,,,,
"Göteborg Plads 8, 1. tv.,2150",7.495.000 kr.,Skolen på Strandboulevarden,797 m,6.1,3.7,Ejerlejlighed,Energimærke A2015,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 55 dage,115 m²,,Ejerudg.: 6.394 kr/md,3 værelser,Opført 2017,1 toilet,2150,https://www.boligsiden.dk/addresses/5cb3e55e-15a2-411d-babc-58890b892af5,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Parkvej 32B,2830",14.700.000 kr.,Virum Skole,855 m,9,3.9,Villa,Energimærke E,Lav,"24,38%","21,49‰.","Der er 57.826 indbyggere i Lyngby-Taarbæk Kommune. Kommuneskatten er på 24,38% og grundskyldspromillen på 21,49‰.",Til salg i alt: 55 dage,175 m²,Grund: 700 m²,Ejerudg.: 7.950 kr/md,5 værelser,Opført 1980,2 toiletter,2830,https://www.boligsiden.dk/addresses/0a3f50a6-5e25-32b8-e044-0003ba298018,,,,
"Silkeborgvej 124, 2. th.,8000",1.998.000 kr.,Møllevangskolen,975 m,6.8,3.7,Ejerlejlighed,Energimærke D,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 55 dage,61 m²,,Ejerudg.: 2.355 kr/md,2 værelser,Opført 1938,1 toilet,8000,https://www.boligsiden.dk/addresses/0a3f50c4-1491-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
