,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Frederiksgade 33A, 1. 1.,8700",1.675.000 kr.,Learnmark 10,345 m,Ikke oplyst,Ikke oplyst,Ejerlejlighed,Energimærke B,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 42 dage,97 m²,Ejerudg.: 2.897 kr/md,Elevator: Nej,4 værelser,Opført 2009,1 toilet,Altan: Nej,Terrasse: Nej,8700,https://www.boligsiden.dk/addresses/1f7a7527-97da-403c-e044-0003ba298018,,
"Viemosevej 18,4913",750.000 kr.,Stormarkskolen,"11,56 km",6.1,3.7,Villa,Energimærke D,Meget høj,"26,3%","33,09‰.","Der er 40.107 indbyggere i Lolland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 33,09‰.",Til salg i alt: 42 dage,133 m²,Ejerudg.: 1.117 kr/md,,4 værelser,Opført 1900,1 toilet,,,4913,https://www.boligsiden.dk/addresses/0a3f50b1-03fb-32b8-e044-0003ba298018,Grund: 2319 m²,
"Kliplev Toftevej 4,6200",995.000 kr.,Stubbæk Skole,"6,72 km",7.4,3.8,Villa,Energimærke F,Mellem,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 42 dage,155 m²,Ejerudg.: 1.460 kr/md,,5 værelser,Opført 1969,2 toiletter,,,6200,https://www.boligsiden.dk/addresses/0a3f50b6-fd7b-32b8-e044-0003ba298018,Grund: 1106 m²,
"Struebjerg 16,5700",2.195.000 kr.,Vestre Skole,942 m,5.9,3.7,Villa,Energimærke F,Meget høj,"26,3%","23,32‰.","Der er 59.193 indbyggere i Svendborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 23,32‰.",Til salg i alt: 42 dage,89 m²,Ejerudg.: 1.652 kr/md,,3 værelser,Opført 1955,1 toilet,,,5700,https://www.boligsiden.dk/addresses/0a3f50b5-a50c-32b8-e044-0003ba298018,Grund: 774 m²,
"Teglgårdsvej 405, 1. tv.,3050",1.250.000 kr.,Humlebæk Skole,659 m,7.8,3.8,Ejerlejlighed,Energimærke D,Mellem,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 42 dage,68 m²,Ejerudg.: 3.602 kr/md,Elevator: Nej,2 værelser,Opført 1968,1 toilet,Altan: Nej,Terrasse: Nej,3050,https://www.boligsiden.dk/addresses/0a3f50a8-4248-32b8-e044-0003ba298018,,
"Ribe Landevej 128,7100",1.895.000 kr.,"Vejle Midtbyskole, afdeling Damhaven",985 m,6,3.6,Villa,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 42 dage,112 m²,Ejerudg.: 2.886 kr/md,,3 værelser,Opført 1927,1 toilet,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-ea55-32b8-e044-0003ba298018,Grund: 835 m²,
"Husbyvej 242,9690",1.150.000 kr.,Fjerritslev Skole,"5,14 km",6.4,3.6,Landejendom,Energimærke D,Lav,"25,7%","32,85‰.","Der er 38.187 indbyggere i Jammerbugt Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,85‰.",Til salg i alt: 42 dage,139 m²,Ejerudg.: 1.275 kr/md,,5 værelser,Opført 1954,1 toilet,,,9690,https://www.boligsiden.dk/addresses/0a3f50c7-3de2-32b8-e044-0003ba298018,Grund: 15000 m²,
"Agersbækvej 8,6950",1.895.000 kr.,Hee Skole,638 m,Ikke oplyst,Ikke oplyst,Landejendom/Landejendom,Energimærke C,Meget lav,25%,31‰.,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,Til salg i alt: 42 dage,136 m²,Ejerudg.: 2.067 kr/md,,5 værelser,Opført 1900,2 toiletter,,,6950,https://www.boligsiden.dk/addresses/0a3f50be-8c47-32b8-e044-0003ba298018,Grund: 47161 m²,
"Stengadevej 28,5953",1.195.000 kr.,Ørstedskolen,"7,43 km",Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke E,Høj,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 42 dage,134 m²,Ejerudg.: 1.059 kr/md,,4 værelser,Opført 1935,1 toilet,,,5953,https://www.boligsiden.dk/addresses/0a3f50b5-f31e-32b8-e044-0003ba298018,Grund: 1910 m²,
"Bodumvej 3,6230",7.250.000 kr.,Høje Kolstrup Skole,"3,26 km",6.7,3.7,Landejendom,Energimærke G,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 42 dage,227 m²,Ejerudg.: 1.981 kr/md,,5 værelser,Opført 1928,2 toiletter,,,6230,https://www.boligsiden.dk/addresses/0a3f50b7-5186-32b8-e044-0003ba298018,Grund: 581238 m²,
"Muldbjergvej 2,4733",1.995.000 kr.,"Fladsåskolen, afd. Korskilde","2,83 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 42 dage,252 m²,Ejerudg.: 1.612 kr/md,,6 værelser,Opført 1780,3 toiletter,,,4733,https://www.boligsiden.dk/addresses/0a3f50af-8e86-32b8-e044-0003ba298018,Grund: 1275 m²,
"Kraghave Gaabensevej 88A,4800",950.000 kr.,Nordbyskolen,"1,3 km",7.4,3.8,Villa,Energimærke C,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 250 dage,95 m²,Ejerudg.: 1.043 kr/md,,3 værelser,Opført 1727,1 toilet,,,4800,https://www.boligsiden.dk/addresses/0a3f50b0-37e9-32b8-e044-0003ba298018,Grund: 375 m²,
"Søndervangvej 6,6600",1.495.000 kr.,Grønvangskolen,"1,87 km",7.2,3.8,Villa,Energimærke D,Høj,"25,33%","20,36‰.","Der er 42.596 indbyggere i Vejen Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 20,36‰.",Til salg i alt: 439 dage,118 m²,Ejerudg.: 1.685 kr/md,,3 værelser,Opført 1951,2 toiletter,,,6600,https://www.boligsiden.dk/addresses/0a3f50ba-21eb-32b8-e044-0003ba298018,Grund: 780 m²,
"Svinget 7,6230",1.995.000 kr.,Hjordkær Skole,493 m,7,3.7,Villa,Energimærke E,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 602 dage,255 m²,Ejerudg.: 2.724 kr/md,,7 værelser,Opført 1850,2 toiletter,,,6230,https://www.boligsiden.dk/addresses/0a3f50b7-6092-32b8-e044-0003ba298018,Grund: 19998 m²,
"Syrenvej 2,3720",695.000 kr.,Hans Rømer Skolen,387 m,6.6,3.6,Villa,Energimærke D,Meget høj,"26,2%",34‰.,"Der er 39.545 indbyggere i Bornholm Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 34‰.",Til salg i alt: 42 dage,122 m²,Ejerudg.: 1.591 kr/md,,3 værelser,Opført 1971,2 toiletter,,,3720,https://www.boligsiden.dk/addresses/0a3f50b2-2e60-32b8-e044-0003ba298018,Grund: 857 m²,
"Roasvej 29,2750",4.495.000 kr.,Baltorpskolen – Grantoften,441 m,6.2,3.7,Villa,Energimærke D,Mellem,"25,5%","28,89‰.","Der er 49.274 indbyggere i Ballerup Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,89‰.",Til salg i alt: 42 dage,142 m²,Ejerudg.: 4.485 kr/md,,5 værelser,Opført 1946,1 toilet,,,2750,https://www.boligsiden.dk/addresses/0a3f50a3-1301-32b8-e044-0003ba298018,Grund: 808 m²,
"Emilsvej 7,3650",5.595.000 kr.,Søhøjskolen,"1,51 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Høj,"25,7%","23,98‰.","Der er 44.375 indbyggere i Egedal Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 23,98‰.",Til salg i alt: 42 dage,189 m²,Ejerudg.: 4.750 kr/md,,5 værelser,Opført 2008,2 toiletter,,,3650,https://www.boligsiden.dk/addresses/363cc2db-6753-1eb8-e044-0003ba298018,Grund: 921 m²,
"Kagsmarksvej 11A,4200",2.475.000 kr.,Stillinge Skole,"5,23 km",6.9,3.7,Villa,Energimærke A2010,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 42 dage,218 m²,Ejerudg.: 3.348 kr/md,,5 værelser,Opført 1900,2 toiletter,,,4200,https://www.boligsiden.dk/addresses/0a3f50ae-9bbb-32b8-e044-0003ba298018,Grund: 3885 m²,
"Bredkær Tværvej 45,8250",5.898.000 kr.,Sølystskolen,454 m,8,3.8,Villa,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 297 dage,181 m²,Ejerudg.: 3.130 kr/md,,8 værelser,Opført 1966,2 toiletter,,,8250,https://www.boligsiden.dk/addresses/0a3f50c2-8a9b-32b8-e044-0003ba298018,Grund: 545 m²,
"Egemosevej 7,5871",2.195.000 kr.,4kløverskolen,"2,21 km",6.7,3.7,Landejendom/Villa,Energimærke D,Høj,"26,3%","27,83‰.","Der er 32.098 indbyggere i Nyborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 27,83‰.",Til salg i alt: 42 dage,160 m²,Ejerudg.: 2.798 kr/md,,5 værelser,Opført 1973,2 toiletter,,,5871,https://www.boligsiden.dk/addresses/0a3f50b6-16f1-32b8-e044-0003ba298018,Grund: 44200 m²,
"Spelmanns Toft 34B,6720",1.998.000 kr.,Fanø Skole,358 m,7.5,3.7,Villa,Energimærke B,Meget lav,"25,66%",34‰.,"Der er 3.427 indbyggere i Fanø Kommune. Kommuneskatten er på 25,66% og grundskyldspromillen på 34‰.",Til salg i alt: 365 dage,141 m²,Ejerudg.: 1.668 kr/md,,5 værelser,Opført 2007,2 toiletter,,,6720,https://www.boligsiden.dk/addresses/45f29248-a642-2b68-e044-0003ba298018,Grund: 303 m²,
"Tjørnevænget 23,5856",1.195.000 kr.,Tre Ege Skolen,708 m,5.8,3.6,Villa,Energimærke D,Meget høj,"26,1%","22,85‰.","Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",Til salg i alt: 278 dage,105 m²,Ejerudg.: 1.261 kr/md,,4 værelser,Opført 1980,1 toilet,,,5856,https://www.boligsiden.dk/addresses/0a3f50b5-5b01-32b8-e044-0003ba298018,Grund: 315 m²,
"Kilen 13,6780",1.295.000 kr.,Skærbæk Distriktsskole,"1,46 km",6,3.6,Villa,Energimærke C,Meget lav,"25,3%","21,24‰.","Der er 36.849 indbyggere i Tønder Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 21,24‰.",Til salg i alt: 243 dage,140 m²,Ejerudg.: 1.274 kr/md,,5 værelser,Opført 1973,1 toilet,,,6780,https://www.boligsiden.dk/addresses/0a3f50b7-6c28-32b8-e044-0003ba298018,Grund: 849 m²,
"Sigsbjergvej 1,7000",1.095.000 kr.,Erritsø Fællesskole,324 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Høj,"25,5%",26‰.,"Der er 51.606 indbyggere i Fredericia Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 26‰.",Til salg i alt: 518 dage,102 m²,Ejerudg.: 1.318 kr/md,,4 værelser,Opført 1965,1 toilet,,,7000,https://www.boligsiden.dk/addresses/0a3f50ba-cb38-32b8-e044-0003ba298018,Grund: 777 m²,
"Clemensgade 8, st. tv.,6000",1.695.000 kr.,Aalykkeskolen,719 m,7.2,3.8,Ejerlejlighed,Energimærke B,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 215 dage,110 m²,Ejerudg.: 2.344 kr/md,Elevator: Nej,4 værelser,Opført 1986,1 toilet,Altan: Nej,Terrasse: Nej,6000,https://www.boligsiden.dk/addresses/0a3f50bb-ecfa-32b8-e044-0003ba298018,,
"Fruegårdsvej 7,7755",1.995.000 kr.,Bedsted Skole,"4,51 km",6.1,3.7,Villa/Fritidsbolig,Energimærke A2010,Mellem,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 42 dage,190 m²,Ejerudg.: 1.701 kr/md,,6 værelser,Opført 1908,1 toilet,,,7755,https://www.boligsiden.dk/addresses/0a3f50c5-e979-32b8-e044-0003ba298018,Grund: 4609 m²,
"Fadet 6, 34. 3.,1799",8.995.000 kr.,Vesterbro Ny Skole,429 m,6.7,3.7,Ejerlejlighed,Energimærke A2015,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 248 dage,97 m²,Ejerudg.: 5.509 kr/md,Elevator: Nej,4 værelser,Opført 2022,1 toilet,Altan: Ja,Terrasse: Nej,1799,https://www.boligsiden.dk/addresses/15283e74-d0bd-436e-b44b-bf6d1e8c475e,,
"Byagervej 93, st. tv.,3460",1.225.000 kr.,Rude Skov Skole,"1,05 km",8.3,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,21%","22,93‰.","Der er 57.247 indbyggere i Rudersdal Kommune. Kommuneskatten er på 23,21% og grundskyldspromillen på 22,93‰.",Til salg i alt: 42 dage,48 m²,Ejerudg.: 4.059 kr/md,Elevator: Nej,2 værelser,Opført 1959,1 toilet,Altan: Nej,Terrasse: Nej,3460,https://www.boligsiden.dk/addresses/0a3f50a7-e34d-32b8-e044-0003ba298018,,
"Bryrupvej 19A,8800",3.095.000 kr.,Mønsted-Sparkær Skole,"1,76 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget lav,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 42 dage,205 m²,Ejerudg.: 2.176 kr/md,,7 værelser,Opført 1967,2 toiletter,,,8800,https://www.boligsiden.dk/addresses/0a3f50c4-e70d-32b8-e044-0003ba298018,Grund: 33950 m²,
"Svanevej 21,5492",1.595.000 kr.,Vissenbjerg Skole,373 m,6.9,3.7,Villa,Energimærke C,Mellem,"26,1%","22,12‰.","Der er 40.972 indbyggere i Assens Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,12‰.",Til salg i alt: 42 dage,88 m²,Ejerudg.: 1.585 kr/md,,3 værelser,Opført 1965,1 toilet,,,5492,https://www.boligsiden.dk/addresses/0a3f50b6-0783-32b8-e044-0003ba298018,Grund: 804 m²,
"Julianelund 46,7120",9.495.000 kr.,Kirkebakkeskolen,"2,52 km",7.6,3.8,Villa,Energimærke A2020,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 168 dage,303 m²,Ejerudg.: 4.747 kr/md,,7 værelser,Opført 2019,3 toiletter,,,7120,https://www.boligsiden.dk/addresses/37ed1148-0682-41dc-a9f6-bbda8660a268,Grund: 1142 m²,
"Mejerivej 29A,4700",2.145.000 kr.,"ZBC10, Næstved",569 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 42 dage,131 m²,Ejerudg.: 2.321 kr/md,,5 værelser,Opført 1970,1 toilet,,,4700,https://www.boligsiden.dk/addresses/0a3f50b0-a169-32b8-e044-0003ba298018,Grund: 863 m²,
"Sennelsvej 52,7700",800.000 kr.,Østre Skole,"5,18 km",7.3,3.8,Villa,Energimærke E,Høj,"25,5%","23,75‰.","Der er 43.089 indbyggere i Thisted Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,75‰.",Til salg i alt: 42 dage,194 m²,Ejerudg.: 2.112 kr/md,,3 værelser,Opført 1963,2 toiletter,,,7700,https://www.boligsiden.dk/addresses/0a3f50c6-2a60-32b8-e044-0003ba298018,Grund: 1009 m²,
"Vestergade 4,7171",1.250.000 kr.,Rask Mølle Skole,"3,54 km",7,3.6,Villa,Energimærke D,Høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 1078 dage,168 m²,Ejerudg.: 1.503 kr/md,,6 værelser,Opført 1972,1 toilet,,,7171,https://www.boligsiden.dk/addresses/0a3f50bc-887d-32b8-e044-0003ba298018,Grund: 792 m²,
"Højbovej 2,7100",4.695.000 kr.,Petersmindeskolen,"1,16 km",7.1,3.8,Villa,Energimærke D,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 252 dage,176 m²,Ejerudg.: 2.707 kr/md,,6 værelser,Opført 1960,2 toiletter,,,7100,https://www.boligsiden.dk/addresses/0a3f50bc-c495-32b8-e044-0003ba298018,Grund: 615 m²,
"Teglgårdsvej 541, 3. th.,3050",1.485.000 kr.,Humlebæk Skole,561 m,7.8,3.8,Ejerlejlighed,Energimærke C,Mellem,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 42 dage,75 m²,Ejerudg.: 3.713 kr/md,Elevator: Nej,3 værelser,Opført 1969,1 toilet,Altan: Ja,Terrasse: Nej,3050,https://www.boligsiden.dk/addresses/0a3f50a8-43bc-32b8-e044-0003ba298018,,
"Pjentedamsgade 16B, 2.,5000",1.645.000 kr.,Vestre Skole,"1,44 km",7.3,3.7,Ejerlejlighed,Energimærke E,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 42 dage,66 m²,Ejerudg.: 2.033 kr/md,Elevator: Nej,2 værelser,Opført 1935,1 toilet,Altan: Nej,Terrasse: Nej,5000,https://www.boligsiden.dk/addresses/0a3f50b4-821e-32b8-e044-0003ba298018,,
"Hesselballevej 36,7171",995.000 kr.,Tørring Skole,"4,99 km",6.8,3.7,Villa,Energimærke F,Høj,"25,52%",18‰.,"Der er 47.099 indbyggere i Hedensted Kommune. Kommuneskatten er på 25,52% og grundskyldspromillen på 18‰.",Til salg i alt: 42 dage,132 m²,Ejerudg.: 1.502 kr/md,,8 værelser,Opført 1958,-,,,7171,https://www.boligsiden.dk/addresses/0a3f50bc-7b7c-32b8-e044-0003ba298018,Grund: 6845 m²,
"Viborgvej 133,8600",2.495.000 kr.,Skægkærskolen,"1,19 km",7,3.7,Landejendom/Villa,Energimærke B,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 230 dage,232 m²,Ejerudg.: 3.489 kr/md,,5 værelser,Opført 1954,2 toiletter,,,8600,https://www.boligsiden.dk/addresses/0a3f50c2-188c-32b8-e044-0003ba298018,Grund: 25641 m²,
"Kystvejen 280,4671",6.495.000 kr.,Strøbyskolen,"2,18 km",7.2,3.7,Villa,Energimærke B,Meget høj,26%,"21,52‰.","Der er 23.473 indbyggere i Stevns Kommune. Kommuneskatten er på 26% og grundskyldspromillen på 21,52‰.",Til salg i alt: 370 dage,224 m²,Ejerudg.: 5.825 kr/md,,6 værelser,Opført 1961,3 toiletter,,,4671,https://www.boligsiden.dk/addresses/0a3f50ac-7adf-32b8-e044-0003ba298018,Grund: 1006 m²,
"Slagelsegade 9,9900",1.095.000 kr.,Frydenstrand - Buhlsvej Skoleafdeling,230 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 42 dage,97 m²,Ejerudg.: 1.462 kr/md,,4 værelser,Opført 1953,2 toiletter,,,9900,https://www.boligsiden.dk/addresses/0a3f50c7-8976-32b8-e044-0003ba298018,Grund: 609 m²,
"Smedegade 53,8700",1.495.000 kr.,Learnmark 10,615 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke B,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 42 dage,99 m²,Ejerudg.: 1.370 kr/md,,3 værelser,Opført 1875,1 toilet,,,8700,https://www.boligsiden.dk/addresses/0a3f50bb-8878-32b8-e044-0003ba298018,Grund: 132 m²,
"Langenæs Allé 37, 3. 3.,8000",2.498.000 kr.,Læssøesgades Skole,660 m,6.4,3.7,Ejerlejlighed,Energimærke C,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 564 dage,88 m²,Ejerudg.: 3.873 kr/md,Elevator: Nej,2 værelser,Opført 1968,1 toilet,Altan: Ja,Terrasse: Nej,8000,https://www.boligsiden.dk/addresses/16d19f5b-f414-16bd-e044-0003ba298018,,
"Nørregårdsvej 185,2610",5.495.000 kr.,Nyager Skole,366 m,7.4,3.6,Rækkehus,Energimærke E,Høj,"25,7%","30,8‰.","Der er 41.382 indbyggere i Rødovre Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 30,8‰.",Til salg i alt: 42 dage,127 m²,Ejerudg.: 3.974 kr/md,,6 værelser,Opført 1955,2 toiletter,,,2610,https://www.boligsiden.dk/addresses/0a3f50a6-9ed7-32b8-e044-0003ba298018,Grund: 515 m²,
"Parkovsvej 20,2820",19.495.000 kr.,Gentofte Skole,"1,07 km",8.4,3.8,Villa,Energimærke E,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 382 dage,281 m²,Ejerudg.: 14.632 kr/md,,6 værelser,Opført 1938,3 toiletter,,,2820,https://www.boligsiden.dk/addresses/0a3f50a3-f3bd-32b8-e044-0003ba298018,Grund: 1122 m²,
"Esbenfald 6,9352",795.000 kr.,Dybvad skoleafdeling,199 m,Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke C,Lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 43 dage,200 m²,Ejerudg.: 1.190 kr/md,,5 værelser,Opført 1973,2 toiletter,,,9352,https://www.boligsiden.dk/addresses/0a3f50c9-7a0a-32b8-e044-0003ba298018,Grund: 1045 m²,
"Islands Brygge 32B, 6. 662.,2300",13.495.000 kr.,Skolen på Islands Brygge,960 m,7.4,3.7,Ejerlejlighed,Energimærke C,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 278 dage,143 m²,Ejerudg.: 7.824 kr/md,Elevator: Ja,3 værelser,Opført 1963,2 toiletter,Altan: Ja,Terrasse: Nej,2300,https://www.boligsiden.dk/addresses/0a3f509e-ef40-32b8-e044-0003ba298018,,
"Lærkevej 19A,3400",3.745.000 kr.,Hillerød Vest Skolen,625 m,7.5,3.8,Rækkehus,Energimærke C,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 304 dage,116 m²,Ejerudg.: 3.073 kr/md,,4 værelser,Opført 1949,2 toiletter,,,3400,https://www.boligsiden.dk/addresses/0a3f50a9-c313-32b8-e044-0003ba298018,Grund: 585 m²,
"Kraghave Møllevej 26,4800",1.975.000 kr.,Nordbyskolen,423 m,7.4,3.8,Villa,Energimærke C,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 44 dage,96 m²,Ejerudg.: 2.010 kr/md,,3 værelser,Opført 1962,1 toilet,,,4800,https://www.boligsiden.dk/addresses/0a3f50b0-381b-32b8-e044-0003ba298018,Grund: 1424 m²,
"Flensborgvej 118,6200",7.500.000 kr.,Kongehøjskolen,"1,56 km",6.9,3.6,Villa,Energimærke C,Høj,"25,6%","18,9‰.","Der er 58.693 indbyggere i Aabenraa Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 18,9‰.",Til salg i alt: 115 dage,281 m²,Ejerudg.: 4.425 kr/md,,6 værelser,Opført 1996,2 toiletter,,,6200,https://www.boligsiden.dk/addresses/0a3f50b8-2d84-32b8-e044-0003ba298018,Grund: 1575 m²,
"Vedby Vesterskovvej 2,4840",1.395.000 kr.,Nr. Vedby Skole & Børnehus,"1,81 km",6.4,3.6,Villa,Energimærke D,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 44 dage,185 m²,Ejerudg.: 1.490 kr/md,,8 værelser,Opført 1900,1 toilet,,,4840,https://www.boligsiden.dk/addresses/0a3f50b0-e823-32b8-e044-0003ba298018,Grund: 2024 m²,
"Søholm 20,4180",1.995.000 kr.,Pedersborg Skole,"1,29 km",6.9,3.6,Villa,Energimærke D,Høj,"26,3%","25,74‰.","Der er 30.018 indbyggere i Sorø Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 25,74‰.",Til salg i alt: 44 dage,128 m²,Ejerudg.: 2.251 kr/md,,4 værelser,Opført 1968,1 toilet,,,4180,https://www.boligsiden.dk/addresses/0a3f50ae-ecb5-32b8-e044-0003ba298018,Grund: 856 m²,
"Havedal 6,6760",3.148.000 kr.,Ansgarskolen,625 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 44 dage,180 m²,Ejerudg.: 2.156 kr/md,,7 værelser,Opført 1934,2 toiletter,,,6760,https://www.boligsiden.dk/addresses/0a3f50b9-c2b4-32b8-e044-0003ba298018,Grund: 611 m²,
