,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Enebærvænget 14,4700",1.595.000 kr.,Sydbyskolen,"1,83 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,25%,25‰.,Der er 83.801 indbyggere i Næstved Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 103 dage,120 m²,Grund: 804 m²,Ejerudg.: 1.850 kr/md,4 værelser,Opført 1971,1 toilet,4700,https://www.boligsiden.dk/addresses/0a3f50b0-71bc-32b8-e044-0003ba298018,,,,
"Nordre Strandvej 27,8700",1.698.000 kr.,Horsens Byskole,"1,29 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 103 dage,152 m²,Grund: 867 m²,Ejerudg.: 1.848 kr/md,5 værelser,Opført 1877,1 toilet,8700,https://www.boligsiden.dk/addresses/0a3f50bb-7735-32b8-e044-0003ba298018,,,,
"Øresunds Alle 33,2791",25.500.000 kr.,Dragør Skole,521 m,8.1,3.8,Villa,Energimærke A2015,Mellem,"24,8%","24,47‰.","Der er 14.640 indbyggere i Dragør Kommune. Kommuneskatten er på 24,8% og grundskyldspromillen på 24,47‰.",Til salg i alt: 423 dage,240 m²,Grund: 803 m²,Ejerudg.: 8.462 kr/md,6 værelser,Opført 2018,5 toiletter,2791,https://www.boligsiden.dk/addresses/0a3f50a3-98a8-32b8-e044-0003ba298018,,,,
"Kongelysvej 19,2640",2.995.000 kr.,Læringshuset,280 m,6.5,3.4,Rækkehus,Energimærke A2015,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 104 dage,84 m²,Grund: 155 m²,Ejerudg.: 2.747 kr/md,3 værelser,Opført 2018,1 toilet,2640,https://www.boligsiden.dk/addresses/1fda6ad3-6ab3-41d4-9f36-8eafe8fe3463,,,,
"Peter Heises Kvarter 9,9700",1.795.000 kr.,Søndergades Skole,"1,42 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Mellem,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 103 dage,129 m²,Grund: 875 m²,Ejerudg.: 1.851 kr/md,4 værelser,Opført 1999,2 toiletter,9700,https://www.boligsiden.dk/addresses/0a3f50c6-f55d-32b8-e044-0003ba298018,,,,
"Bybækvej 13F,7120",2.995.000 kr.,Kirkebakkeskolen,"1,22 km",7.6,3.8,Ejerlejlighed,Energimærke A2015,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 103 dage,98 m²,,Ejerudg.: 2.883 kr/md,2 værelser,Opført 2023,-,7120,https://www.boligsiden.dk/addresses/53722609-c39c-4544-8ebd-fd078f969710,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Brundby Hovedgade 12,8305",895.000 kr.,Samsø Skole,"2,08 km",6.7,3.6,Villa/Fritidsbolig,Energimærke E,Høj,"25,9%","30,75‰.","Der er 3.716 indbyggere i Samsø Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 30,75‰.",Til salg i alt: 103 dage,115 m²,Grund: 372 m²,Ejerudg.: 1.310 kr/md,3 værelser,Opført 1948,2 toiletter,8305,https://www.boligsiden.dk/addresses/0a3f50c1-a54e-32b8-e044-0003ba298018,,,,
"Højlunds Alle 27,6710",2.198.000 kr.,Fourfeldtskolen,400 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 103 dage,111 m²,Grund: 766 m²,Ejerudg.: 2.189 kr/md,3 værelser,Opført 1953,2 toiletter,6710,https://www.boligsiden.dk/addresses/0a3f50b8-f6de-32b8-e044-0003ba298018,,,,
"Fasanvej 5,8800",1.595.000 kr.,Vestre Skole,759 m,7,3.8,Villa,Energimærke D,Høj,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 103 dage,147 m²,Grund: 744 m²,Ejerudg.: 2.001 kr/md,5 værelser,Opført 1963,1 toilet,8800,https://www.boligsiden.dk/addresses/0a3f50c6-5c98-32b8-e044-0003ba298018,,,,
"Lyngvej 40,6710",2.795.000 kr.,Fourfeldtskolen,"1,17 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Meget lav,"25,8%","25,29‰.","Der er 115.459 indbyggere i Esbjerg Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25,29‰.",Til salg i alt: 104 dage,120 m²,Grund: 791 m²,Ejerudg.: 2.014 kr/md,5 værelser,Opført 1950,2 toiletter,6710,https://www.boligsiden.dk/addresses/0a3f50b9-0f11-32b8-e044-0003ba298018,,,,
