,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Gerdingvej 47,9520",2.795.000 kr.,Skørping Skole,"3,48 km",7.8,3.7,Landejendom,Energimærke C,Meget lav,"25,33%","26,09‰.","Der er 30.646 indbyggere i Rebild Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 26,09‰.",Til salg i alt: 149 dage,150 m²,Grund: 47662 m²,Ejerudg.: 2.209 kr/md,5 værelser,Opført 1907,2 toiletter,9520,https://www.boligsiden.dk/addresses/0a3f50c9-4be9-32b8-e044-0003ba298018,,,,
"Nyvangsvej 51,4100",4.700.000 kr.,Vigersted Skole,"9,78 km",6.9,3.6,Villa/Landejendom,Energimærke C,Meget høj,"26,1%","24,74‰.","Der er 35.141 indbyggere i Ringsted Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 24,74‰.",Til salg i alt: 91 dage,306 m²,Grund: 19999 m²,Ejerudg.: 4.109 kr/md,9 værelser,Opført 1827,2 toiletter,4100,https://www.boligsiden.dk/addresses/0a3f50ae-4471-32b8-e044-0003ba298018,,,,
"Blichersvej 47,7330",895.000 kr.,Dalgasskolen,222 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 949 dage,118 m²,Grund: 892 m²,Ejerudg.: 1.526 kr/md,5 værelser,Opført 1935,2 toiletter,7330,https://www.boligsiden.dk/addresses/0a3f50bd-20ac-32b8-e044-0003ba298018,,,,
"Høgevej 1,4892",1.145.000 kr.,Nysted Skole,"3,65 km",6.5,3.6,Villa,Energimærke C,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 91 dage,133 m²,Grund: 757 m²,Ejerudg.: 1.271 kr/md,4 værelser,Opført 1974,2 toiletter,4892,https://www.boligsiden.dk/addresses/0a3f50b0-5a81-32b8-e044-0003ba298018,,,,
"Odensevej 200,5500",1.395.000 kr.,Lillebæltskolen,918 m,7.5,3.9,Villa,Energimærke E,Høj,"25,8%","21,29‰.","Der er 39.603 indbyggere i Middelfart Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 21,29‰.",Til salg i alt: 91 dage,121 m²,Grund: 748 m²,Ejerudg.: 1.781 kr/md,5 værelser,Opført 1920,1 toilet,5500,https://www.boligsiden.dk/addresses/0a3f50b3-2e34-32b8-e044-0003ba298018,,,,
"Hedetoften 51, 1. th.,2640",1.850.000 kr.,Læringshuset,976 m,6.5,3.4,Ejerlejlighed,Energimærke D,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 91 dage,78 m²,,Ejerudg.: 3.815 kr/md,3 værelser,Opført 1961,1 toilet,2640,https://www.boligsiden.dk/addresses/0a3f50a5-b93b-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Rødtjørnen 1,8960",2.295.000 kr.,Assentoftskolen,751 m,7.3,3.8,Villa,Energimærke C,Mellem,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 91 dage,112 m²,Grund: 452 m²,Ejerudg.: 1.912 kr/md,4 værelser,Opført 2007,1 toilet,8960,https://www.boligsiden.dk/addresses/0ab7a635-4430-0435-e044-0003ba298018,,,,
"Asgilhøjevej 10,8420",4.495.000 kr.,Molsskolen,"7,4 km",7.4,3.7,Villa,Energimærke E,Høj,"25,9%","33,8‰.","Der er 43.596 indbyggere i Syddjurs Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 33,8‰.",Til salg i alt: 91 dage,140 m²,Grund: 4450 m²,Ejerudg.: 5.071 kr/md,6 værelser,Opført 1971,2 toiletter,8420,https://www.boligsiden.dk/addresses/0a3f50bf-631d-32b8-e044-0003ba298018,,,,
"Folevej 39,6510",595.000 kr.,Gram Skole,"5,57 km",6.4,3.6,Villa,Energimærke D,Mellem,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 91 dage,167 m²,Grund: 1041 m²,Ejerudg.: 1.273 kr/md,7 værelser,Opført 1930,1 toilet,6510,https://www.boligsiden.dk/addresses/0a3f50b6-8a8a-32b8-e044-0003ba298018,,,,
"Katrinegade 21, 2. tv.,6000",525.000 kr.,Aalykkeskolen,201 m,7.2,3.8,Ejerlejlighed,Energimærke D,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 91 dage,38 m²,,Ejerudg.: 1.951 kr/md,2 værelser,Opført 1880,1 toilet,6000,https://www.boligsiden.dk/addresses/0a3f50bc-10d6-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
