,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Lerklinten 7,4220",3.198.000 kr.,Broskolen,268 m,6.1,3.7,Villa,Energimærke B,Høj,"25,6%","25,3‰.","Der er 79.691 indbyggere i Slagelse Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 25,3‰.",Til salg i alt: 19 dage,161 m²,Grund: 952 m²,Ejerudg.: 2.369 kr/md,6 værelser,Opført 2009,2 toiletter,4220,https://www.boligsiden.dk/addresses/0a3f50ad-dec0-32b8-e044-0003ba298018,,,,
"Hamletsgade 4, 1. 157.,2200",2.595.000 kr.,Rådmandsgades Skole,447 m,6.1,3.7,Ejerlejlighed,Energimærke B,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 19 dage,61 m²,,Ejerudg.: 3.893 kr/md,1 værelser,Opført 1975,1 toilet,2200,https://www.boligsiden.dk/addresses/0a3f509e-81b3-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Musvitvej 5,9575",895.000 kr.,KILDEN- Børne- og Ungeunivers,"3,43 km",6.5,3.7,Villa,Energimærke C,Meget lav,"25,33%","26,09‰.","Der er 30.646 indbyggere i Rebild Kommune. Kommuneskatten er på 25,33% og grundskyldspromillen på 26,09‰.",Til salg i alt: 19 dage,140 m²,Grund: 1186 m²,Ejerudg.: 1.555 kr/md,6 værelser,Opført 1974,2 toiletter,9575,https://www.boligsiden.dk/addresses/0a3f50c9-5169-32b8-e044-0003ba298018,,,,
"Ligustervangen 31,3450",3.495.000 kr.,Lillevang Skole afdeling LIllerød,861 m,Ikke oplyst,Ikke oplyst,Rækkehus,Energimærke A2010,Høj,"25,3%","23,8‰.","Der er 25.867 indbyggere i Allerød Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 23,8‰.",Til salg i alt: 19 dage,112 m²,Grund: 129 m²,Ejerudg.: 4.309 kr/md,4 værelser,Opført 1974,2 toiletter,3450,https://www.boligsiden.dk/addresses/0a3f50a7-c35d-32b8-e044-0003ba298018,,,,
"Oldvejsparken 5,4000",2.325.000 kr.,Trællerupskolen,784 m,7.5,3.6,Rækkehus,Energimærke B,Høj,"25,31%","28,23‰.","Der er 28.623 indbyggere i Lejre Kommune. Kommuneskatten er på 25,31% og grundskyldspromillen på 28,23‰.",Til salg i alt: 19 dage,70 m²,Grund: 254 m²,Ejerudg.: 2.398 kr/md,3 værelser,Opført 1973,1 toilet,4000,https://www.boligsiden.dk/addresses/0a3f50ab-aca4-32b8-e044-0003ba298018,,,,
"Vibevej 6,8990",1.398.000 kr.,Fårup Skole og Børneby,126 m,6.8,3.6,Villa,Energimærke E,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 19 dage,126 m²,Grund: 805 m²,Ejerudg.: 1.178 kr/md,4 værelser,Opført 1967,2 toiletter,8990,https://www.boligsiden.dk/addresses/0a3f50c0-cd04-32b8-e044-0003ba298018,,,,
"Møllebakken 11,8850",4.235.000 kr.,Bjerringbro Skole,"3,18 km",7,3.5,Landejendom,Energimærke D,Mellem,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 740 dage,213 m²,Grund: 144687 m²,Ejerudg.: 2.136 kr/md,4 værelser,Opført 1902,1 toilet,8850,https://www.boligsiden.dk/addresses/0a3f50c4-d81a-32b8-e044-0003ba298018,,,,
"Mejsen 1,6920",1.295.000 kr.,Videbæk Skole,"1,07 km",6.7,3.7,Villa,Energimærke D,Lav,25%,31‰.,Der er 56.203 indbyggere i Ringkøbing-Skjern Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 31‰.,Til salg i alt: 19 dage,171 m²,Grund: 886 m²,Ejerudg.: 1.243 kr/md,5 værelser,Opført 1969,2 toiletter,6920,https://www.boligsiden.dk/addresses/0a3f50bf-3a1a-32b8-e044-0003ba298018,,,,
"Platanvej 59, 1. mf.,8930",249.000 kr.,Nørrevangsskolen og UNX-Ung Nord10,820 m,5.8,3.7,Ejerlejlighed,Energimærke C,Høj,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 19 dage,42 m²,,Ejerudg.: 872 kr/md,1 værelser,Opført 1971,1 toilet,8930,https://www.boligsiden.dk/addresses/0a3f50c1-2621-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Ledegårdsvej 9,4520",1.395.000 kr.,Svinninge Skole,241 m,6,3.5,Villa,Energimærke E,Meget høj,"25,3%","25,09‰.","Der er 72.810 indbyggere i Holbæk Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 25,09‰.",Til salg i alt: 267 dage,134 m²,Grund: 770 m²,Ejerudg.: 1.823 kr/md,5 værelser,Opført 1962,2 toiletter,4520,https://www.boligsiden.dk/addresses/0a3f50ae-ff3c-32b8-e044-0003ba298018,,,,
