,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Birkevej 18,9620",1.195.000 kr.,Aalestrup Skole,"1,26 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"26,3%","22,82‰.","Der er 36.326 indbyggere i Vesthimmerlands Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 22,82‰.",Til salg i alt: 98 dage,180 m²,Grund: 661 m²,Ejerudg.: 1.498 kr/md,7 værelser,Opført 1952,2 toiletter,9620,https://www.boligsiden.dk/addresses/0a3f50c6-ac67-32b8-e044-0003ba298018,,,,
"Snedkærgårdsvej 38,4640",6.350.000 kr.,"Ny-Øst, Bavneskolen","1,76 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Høj,"25,8%",25‰.,"Der er 37.161 indbyggere i Faxe Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 25‰.",Til salg i alt: 837 dage,222 m²,Grund: 15530 m²,Ejerudg.: 2.977 kr/md,5 værelser,Opført 1940,2 toiletter,4640,https://www.boligsiden.dk/addresses/0a3f50b1-31ac-32b8-e044-0003ba298018,,,,
"Strandgade 3,9300",3.495.000 kr.,Sæbygårdskolen,"1,67 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke B,Lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 98 dage,106 m²,Grund: 251 m²,Ejerudg.: 1.755 kr/md,2 værelser,Opført 1890,1 toilet,9300,https://www.boligsiden.dk/addresses/0a3f50c9-912d-32b8-e044-0003ba298018,,,,
"Kjeld Abells Vej 10,8600",5.995.000 kr.,Balleskolen,483 m,7.1,3.7,Villa,Energimærke D,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 265 dage,237 m²,Grund: 1361 m²,Ejerudg.: 4.656 kr/md,6 værelser,Opført 1975,3 toiletter,8600,https://www.boligsiden.dk/addresses/0a3f50c1-e27a-32b8-e044-0003ba298018,,,,
"Frejasvej 52,3400",5.995.000 kr.,Hillerødsholmskolen,"1,16 km",7.3,3.7,Villa,Energimærke C,Mellem,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 98 dage,183 m²,Grund: 503 m²,Ejerudg.: 3.740 kr/md,5 værelser,Opført 1924,2 toiletter,3400,https://www.boligsiden.dk/addresses/0a3f50a9-ad53-32b8-e044-0003ba298018,,,,
"Zicavej 12,2930",21.000.000 kr.,Skovshoved Skole,854 m,8.2,3.9,Villa,Energimærke D,Mellem,"24,17%",16‰.,"Der er 74.217 indbyggere i Gentofte Kommune. Kommuneskatten er på 24,17% og grundskyldspromillen på 16‰.",Til salg i alt: 98 dage,175 m²,Grund: 758 m²,Ejerudg.: 11.614 kr/md,8 værelser,Opført 1964,2 toiletter,2930,https://www.boligsiden.dk/addresses/0a3f50a4-26ea-32b8-e044-0003ba298018,,,,
"Mosevej 15,2635",4.195.000 kr.,Strandgårdskolen,913 m,5.7,3.7,Villa,Energimærke C,Mellem,25%,25‰.,Der er 23.225 indbyggere i Ishøj Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 98 dage,158 m²,Grund: 560 m²,Ejerudg.: 3.884 kr/md,5 værelser,Opført 1977,2 toiletter,2635,https://www.boligsiden.dk/addresses/0a3f50a7-1406-32b8-e044-0003ba298018,,,,
"Østergade 22,8732",1.395.000 kr.,Hovedgård Skole,973 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke E,Mellem,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 97 dage,115 m²,Grund: 845 m²,Ejerudg.: 1.564 kr/md,4 værelser,Opført 1948,2 toiletter,8732,https://www.boligsiden.dk/addresses/0a3f50ba-f7fc-32b8-e044-0003ba298018,,,,
"Bakkebo 9,9240",1.595.000 kr.,Nibe Skole,410 m,7.5,3.8,Villa,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 98 dage,106 m²,Grund: 812 m²,Ejerudg.: 1.994 kr/md,4 værelser,Opført 1962,1 toilet,9240,https://www.boligsiden.dk/addresses/0a3f50c8-b1f7-32b8-e044-0003ba298018,,,,
"Thorsgade 54,8700",1.795.000 kr.,Dagnæsskolen,"1,19 km",7,3.8,Villa,Energimærke E,Høj,"25,39%","22,56‰.","Der er 94.443 indbyggere i Horsens Kommune. Kommuneskatten er på 25,39% og grundskyldspromillen på 22,56‰.",Til salg i alt: 327 dage,93 m²,Grund: 604 m²,Ejerudg.: 1.994 kr/md,3 værelser,Opført 1919,2 toiletter,8700,https://www.boligsiden.dk/addresses/0a3f50bb-9a07-32b8-e044-0003ba298018,,,,
"Dalsø Park 44,3500",10.995.000 kr.,Søndersøskolen,676 m,8.2,3.9,Villa,Energimærke C,Mellem,"24,88%","21,5‰.","Der er 41.402 indbyggere i Furesø Kommune. Kommuneskatten er på 24,88% og grundskyldspromillen på 21,5‰.",Til salg i alt: 98 dage,184 m²,Grund: 517 m²,Ejerudg.: 7.183 kr/md,5 værelser,Opført 1987,3 toiletter,3500,https://www.boligsiden.dk/addresses/0a3f50a7-94f6-32b8-e044-0003ba298018,,,,
"Nørholmsvej 238,9000",2.595.000 kr.,Frejlev Skole,"3,23 km",7.5,3.8,Villa,Energimærke D,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 547 dage,196 m²,Grund: 1232 m²,Ejerudg.: 2.321 kr/md,6 værelser,Opført 1961,2 toiletter,9000,https://www.boligsiden.dk/addresses/0a3f50ca-760d-32b8-e044-0003ba298018,,,,
"Kvisselvej 29,9981",495.000 kr.,Strandby Skole,"3,02 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Mellem,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 98 dage,91 m²,Grund: 720 m²,Ejerudg.: 1.050 kr/md,3 værelser,Opført 1960,1 toilet,9981,https://www.boligsiden.dk/addresses/0a3f50c7-6fd2-32b8-e044-0003ba298018,,,,
"Primulavej 15,9750",1.245.000 kr.,Torslev Skole,635 m,Ikke oplyst,Ikke oplyst,Villa/Fritidsbolig,Energimærke C,Lav,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 98 dage,135 m²,Grund: 1373 m²,Ejerudg.: 1.435 kr/md,6 værelser,Opført 1949,3 toiletter,9750,https://www.boligsiden.dk/addresses/0a3f50c9-8bc0-32b8-e044-0003ba298018,,,,
"Østerbro 47, st. 5.,9000",1.345.000 kr.,Sønderbroskolen,836 m,7.2,3.8,Ejerlejlighed,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 98 dage,79 m²,,Ejerudg.: 2.149 kr/md,2 værelser,Opført 1979,1 toilet,9000,https://www.boligsiden.dk/addresses/0a3f50cb-0879-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Engtoften 2,6560",995.000 kr.,Fællesskolen Nustrup-Sommersted,"8,09 km",6.1,3.7,Villa,Energimærke D,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 98 dage,134 m²,Grund: 876 m²,Ejerudg.: 1.168 kr/md,5 værelser,Opført 1967,1 toilet,6560,https://www.boligsiden.dk/addresses/0a3f50b8-0a8e-32b8-e044-0003ba298018,,,,
"Bukkeskovvej 4,5953",2.200.000 kr.,Nordskolen,"10,43 km",Ikke oplyst,Ikke oplyst,Landejendom/Villa,Energimærke G,Høj,"26,3%","24,57‰.","Der er 12.316 indbyggere i Langeland Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,57‰.",Til salg i alt: 320 dage,283 m²,Grund: 19999 m²,Ejerudg.: 2.173 kr/md,9 værelser,Opført 1872,2 toiletter,5953,https://www.boligsiden.dk/addresses/0a3f50b5-e9c4-32b8-e044-0003ba298018,,,,
"Marsk Billesvej 2A,5672",3.000.000 kr.,Brobyskolerne,539 m,6.9,3.6,Villa,fejl,Høj,"26,1%","22,85‰.","Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",Til salg i alt: 98 dage,340 m²,Grund: 11831 m²,Ejerudg.: 6.194 kr/md,19 værelser,Opført 1777,1 toilet,5672,https://www.boligsiden.dk/addresses/0a3f50b2-6d23-32b8-e044-0003ba298018,,,,
"Syrenvej 35,4600",2.995.000 kr.,Kirstinedalsskolen,667 m,6.5,3.7,Villa,Energimærke E,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 97 dage,107 m²,Grund: 864 m²,Ejerudg.: 2.437 kr/md,3 værelser,Opført 1964,1 toilet,4600,https://www.boligsiden.dk/addresses/0a3f50ab-9369-32b8-e044-0003ba298018,,,,
"Strandlodsvej 12A, 2. 4.,2300",6.850.000 kr.,Lergravsparkens Skole,485 m,6.9,3.7,Ejerlejlighed,Energimærke A2010,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 413 dage,125 m²,,Ejerudg.: 4.640 kr/md,4 værelser,Opført 2017,1 toilet,2300,https://www.boligsiden.dk/addresses/48795429-d00f-4d22-87eb-b644ad800ca0,Elevator: Ja,Altan: Ja,Terrasse: Nej,
"Strædet 6,3550",3.495.000 kr.,Hanebjerg Skole,"5,12 km",7.7,3.7,Villa,Energimærke D,Høj,"25,6%","20,65‰.","Der er 53.257 indbyggere i Hillerød Kommune. Kommuneskatten er på 25,6% og grundskyldspromillen på 20,65‰.",Til salg i alt: 98 dage,156 m²,Grund: 788 m²,Ejerudg.: 4.021 kr/md,4 værelser,Opført 1900,1 toilet,3550,https://www.boligsiden.dk/addresses/0a3f50aa-95da-32b8-e044-0003ba298018,,,,
