,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Rønnevej 1,2791",6.495.000 kr.,St. Magleby Skole,"3,51 km",7.6,3.7,Villa,Energimærke A2010,Mellem,"24,8%","24,47‰.","Der er 14.640 indbyggere i Dragør Kommune. Kommuneskatten er på 24,8% og grundskyldspromillen på 24,47‰.",Til salg i alt: 78 dage,181 m²,Grund: 989 m²,Ejerudg.: 3.575 kr/md,6 værelser,Opført 1978,2 toiletter,2791,https://www.boligsiden.dk/addresses/0a3f50a3-90e8-32b8-e044-0003ba298018,,,,
"Nykøbingvej 185,4800",1.495.000 kr.,Møllebakkeskolen,380 m,6.7,3.7,Villa,Energimærke C,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 772 dage,285 m²,Grund: 784 m²,Ejerudg.: 1.943 kr/md,12 værelser,Opført 1930,1 toilet,4800,https://www.boligsiden.dk/addresses/0a3f50b1-6608-32b8-e044-0003ba298018,,,,
"Egelundsvej 8,8240",13.495.000 kr.,Risskov Skole,"1,02 km",8.4,3.8,Villa,Energimærke B,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 78 dage,228 m²,Grund: 900 m²,Ejerudg.: 10.982 kr/md,5 værelser,Opført 2008,2 toiletter,8240,https://www.boligsiden.dk/addresses/0a3f50c2-b99e-32b8-e044-0003ba298018,,,,
"Havvejen 14,6100",995.000 kr.,Fællesskolen HoptrupMarstrupVilstrup,"4,07 km",6.6,3.7,Villa,Energimærke B,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 78 dage,141 m²,Grund: 443 m²,Ejerudg.: 1.333 kr/md,3 værelser,Opført 1877,2 toiletter,6100,https://www.boligsiden.dk/addresses/0a3f50b6-bb4b-32b8-e044-0003ba298018,,,,
"Allegade 23D,2000",11.495.000 kr.,Ny Hollænderskolen,388 m,8,3.8,Ejerlejlighed,Energimærke D,Lav,"23,47%","24,75‰.","Der er 103.608 indbyggere i Frederiksberg Kommune. Kommuneskatten er på 23,47% og grundskyldspromillen på 24,75‰.",Til salg i alt: 78 dage,156 m²,,Ejerudg.: 7.910 kr/md,5 værelser,Opført 1890,2 toiletter,2000,https://www.boligsiden.dk/addresses/f08a0259-c2e6-4cae-8cac-dc2954c563dc,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Villavej 13,7430",995.000 kr.,Ikast Østre Skole,528 m,6.7,3.8,Villa,Energimærke D,Lav,"25,1%","20,35‰.","Der er 41.885 indbyggere i Ikast-Brande Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 20,35‰.",Til salg i alt: 78 dage,165 m²,Grund: 423 m²,Ejerudg.: 1.701 kr/md,4 værelser,Opført 1915,2 toiletter,7430,https://www.boligsiden.dk/addresses/0a3f50be-6200-32b8-e044-0003ba298018,,,,
"Krustruphedevej 20,9800",795.000 kr.,Lundergård undervisningssted,"3,67 km",Ikke oplyst,Ikke oplyst,Villa/Landejendom,Energimærke E,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 78 dage,157 m²,Grund: 11504 m²,Ejerudg.: 2.218 kr/md,6 værelser,Opført 1920,1 toilet,9800,https://www.boligsiden.dk/addresses/0a3f50c8-2835-32b8-e044-0003ba298018,,,,
"Sønderskovvej 13,6800",1.950.000 kr.,Nordenskov afdeling,911 m,Ikke oplyst,Ikke oplyst,Landejendom,Energimærke C,Lav,"25,1%","31,56‰.","Der er 49.664 indbyggere i Varde Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 31,56‰.",Til salg i alt: 78 dage,163 m²,Grund: 26767 m²,Ejerudg.: 1.772 kr/md,6 værelser,Opført 1935,2 toiletter,6800,https://www.boligsiden.dk/addresses/0a3f50b9-a544-32b8-e044-0003ba298018,,,,
"Kildeparken 41,6000",2.595.000 kr.,Sdr Vang Skole,"1,03 km",7.1,3.9,Villa,Energimærke B,Høj,"25,5%",25‰.,"Der er 93.544 indbyggere i Kolding Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 25‰.",Til salg i alt: 78 dage,188 m²,Grund: 793 m²,Ejerudg.: 2.846 kr/md,6 værelser,Opført 1980,2 toiletter,6000,https://www.boligsiden.dk/addresses/0a3f50bc-11fb-32b8-e044-0003ba298018,,,,
"Vestre Allé 44,8600",3.095.000 kr.,Vestre Skole,370 m,7.5,3.7,Villa,Energimærke D,Lav,"25,5%","28,26‰.","Der er 97.358 indbyggere i Silkeborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,26‰.",Til salg i alt: 78 dage,129 m²,Grund: 609 m²,Ejerudg.: 2.939 kr/md,3 værelser,Opført 1939,3 toiletter,8600,https://www.boligsiden.dk/addresses/0a3f50c2-17e7-32b8-e044-0003ba298018,,,,
