,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Grund,Ejerudgift,Rooms,Build,Toilets,Postal code,link,Elevator,Altan,Terasse,Toilet
"Eskilstrup Vestergade 39,4863",895.000 kr.,Eskilstrup Børne- og Skolefællesskab,464 m,6.5,3.6,Villa,Energimærke E,Høj,"25,8%","32,34‰.","Der er 60.310 indbyggere i Guldborgsund Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 32,34‰.",Til salg i alt: 471 dage,131 m²,Grund: 763 m²,Ejerudg.: 1.208 kr/md,4 værelser,Opført 1948,1 toilet,4863,https://www.boligsiden.dk/addresses/0a3f50b0-da12-32b8-e044-0003ba298018,,,,
"Helmer Søgårds Alle 8, st. tv.,2770",3.345.000 kr.,Skottegårdsskolen,585 m,6.7,3.6,Ejerlejlighed,Energimærke D,Mellem,"23,1%",24‰.,"Der er 42.723 indbyggere i Tårnby Kommune. Kommuneskatten er på 23,1% og grundskyldspromillen på 24‰.",Til salg i alt: 32 dage,78 m²,,Ejerudg.: 4.361 kr/md,4 værelser,Opført 1950,1 toilet,2770,https://www.boligsiden.dk/addresses/0a3f50a7-4339-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Faldskærmsvej 14,3500",3.845.000 kr.,Egeskolen,"2,01 km",6.3,3.7,Rækkehus,Energimærke A2015,Mellem,"24,88%","21,5‰.","Der er 41.402 indbyggere i Furesø Kommune. Kommuneskatten er på 24,88% og grundskyldspromillen på 21,5‰.",Til salg i alt: 32 dage,110 m²,Grund: 110 m²,Ejerudg.: 3.982 kr/md,4 værelser,Opført 2024,-,3500,https://www.boligsiden.dk/addresses/92cf3da0-405a-40f1-a965-2d6c68618695,,,,
"Ivar Huitfeldts Gade 9, st. tv.,9000",1.495.000 kr.,Vesterkærets Skole,536 m,7,3.7,Ejerlejlighed,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 32 dage,64 m²,,Ejerudg.: 2.575 kr/md,2 værelser,Opført 1955,1 toilet,9000,https://www.boligsiden.dk/addresses/0a3f50ca-2e93-32b8-e044-0003ba298018,Elevator: Nej,Altan: Ja,Terrasse: Nej,
"Vandbækvej 45,8960",3.695.000 kr.,Assentoftskolen,"4,6 km",7.3,3.8,Landejendom,Energimærke C,Mellem,"25,8%","27,93‰.","Der er 98.988 indbyggere i Randers Kommune. Kommuneskatten er på 25,8% og grundskyldspromillen på 27,93‰.",Til salg i alt: 325 dage,231 m²,Grund: 88891 m²,Ejerudg.: 5.038 kr/md,5 værelser,Opført 1900,1 toilet,8960,https://www.boligsiden.dk/addresses/0a3f50c2-544b-32b8-e044-0003ba298018,,,,
"Voergårdsvej 49,9330",295.000 kr.,Flauenskjold Skole,"5,08 km",Ikke oplyst,Ikke oplyst,Villa,Energimærke C,Lav,"26,3%","31,23‰.","Der er 36.194 indbyggere i Brønderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 31,23‰.",Til salg i alt: 32 dage,90 m²,Grund: 1000 m²,Ejerudg.: 1.190 kr/md,4 værelser,Opført 1920,1 toilet,9330,https://www.boligsiden.dk/addresses/0a3f50c7-1dde-32b8-e044-0003ba298018,,,,
"Vinkelvej 13A,3200",3.795.000 kr.,Nordstjerneskolen,710 m,6.8,3.6,Villa,Energimærke C,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 32 dage,209 m²,Grund: 1732 m²,Ejerudg.: 3.425 kr/md,5 værelser,Opført 1912,3 toiletter,3200,https://www.boligsiden.dk/addresses/0a3f50a9-1ad5-32b8-e044-0003ba298018,,,,
"Multebærvej 7,9500",3.995.000 kr.,Hobro Søndre Skole og MF10,"1,14 km",7,3.7,Villa,Energimærke C,Mellem,"25,9%",34‰.,"Der er 41.662 indbyggere i Mariagerfjord Kommune. Kommuneskatten er på 25,9% og grundskyldspromillen på 34‰.",Til salg i alt: 32 dage,214 m²,Grund: 841 m²,Ejerudg.: 2.660 kr/md,6 værelser,Opført 2003,2 toiletter,9500,https://www.boligsiden.dk/addresses/0a3f50c8-688b-32b8-e044-0003ba298018,,,,
"Taastrup Hovedgade 45A, 1. tv.,2630",2.045.000 kr.,Borgerskolen,"1,2 km",6.6,3.7,Ejerlejlighed,Energimærke D,Høj,"24,6%","24,4‰.","Der er 53.053 indbyggere i Høje-Taastrup Kommune. Kommuneskatten er på 24,6% og grundskyldspromillen på 24,4‰.",Til salg i alt: 32 dage,68 m²,,Ejerudg.: 3.158 kr/md,3 værelser,Opført 1962,1 toilet,2630,https://www.boligsiden.dk/addresses/0a3f50a5-c577-32b8-e044-0003ba298018,Elevator: Nej,Altan: Nej,Terrasse: Nej,
"Kærager 3,9760",725.000 kr.,Tårs Skole,"6,67 km",6.5,3.7,Villa,Energimærke D,Lav,"26,21%",34‰.,"Der er 63.839 indbyggere i Hjørring Kommune. Kommuneskatten er på 26,21% og grundskyldspromillen på 34‰.",Til salg i alt: 452 dage,129 m²,Grund: 1041 m²,Ejerudg.: 1.208 kr/md,3 værelser,Opført 1990,1 toilet,9760,https://www.boligsiden.dk/addresses/0a3f50c8-28c4-32b8-e044-0003ba298018,,,,
