"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Sønderborg";553203
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Tønder";542091
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Varde";592282
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Vejen";594071
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Vejle";627986
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Aabenraa";553830
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Favrskov";671767
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Hedensted";636858
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Horsens";576794
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Norddjurs";514887
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Odder";613874
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Randers";543324
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Samsø";486377
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Silkeborg";643206
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Skanderborg";723214
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Syddjurs";587199
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Aarhus";538482
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Herning";595738
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Holstebro";578180
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Ikast-Brande";583314
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Lemvig";596226
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Ringkøbing-Skjern";592394
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Skive";557051
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Struer";548629
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Viborg";587297
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Brønderslev";568809
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Frederikshavn";534290
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Hjørring";547309
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Jammerbugt";560228
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Læsø";441210
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Mariagerfjord";570470
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Morsø";536268
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Rebild";674931
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Thisted";555421
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Vesthimmerlands";555936
"I alt";"Familier i alt";"Gennemsnit for familier i gruppen (kr.)";"Aalborg";529479
