"Alder i alt";"I alt";"1219 København K (Københavns Kommune)";11
"Alder i alt";"I alt";"1220 København K (Københavns Kommune)";116
"Alder i alt";"I alt";"1250 København K (Københavns Kommune)";91
"Alder i alt";"I alt";"1251 København K (Københavns Kommune)";56
"Alder i alt";"I alt";"1253 København K (Københavns Kommune)";643
"Alder i alt";"I alt";"1254 København K (Københavns Kommune)";232
"Alder i alt";"I alt";"1255 København K (Københavns Kommune)";87
"Alder i alt";"I alt";"1256 København K (Københavns Kommune)";398
"Alder i alt";"I alt";"1257 København K (Københavns Kommune)";19
"Alder i alt";"I alt";"1259 København K (Københavns Kommune)";1
"Alder i alt";"I alt";"1260 København K (Københavns Kommune)";348
"Alder i alt";"I alt";"1261 København K (Københavns Kommune)";75
"Alder i alt";"I alt";"1263 København K (Københavns Kommune)";200
"Alder i alt";"I alt";"1264 København K (Københavns Kommune)";1315
"Alder i alt";"I alt";"1265 København K (Københavns Kommune)";135
"Alder i alt";"I alt";"1266 København K (Københavns Kommune)";81
"Alder i alt";"I alt";"1267 København K (Københavns Kommune)";71
"Alder i alt";"I alt";"1268 København K (Københavns Kommune)";55
"Alder i alt";"I alt";"1270 København K (Københavns Kommune)";128
"Alder i alt";"I alt";"1271 København K (Københavns Kommune)";13
"Alder i alt";"I alt";"1300 København K (Københavns Kommune)";497
"Alder i alt";"I alt";"1302 København K (Københavns Kommune)";944
"Alder i alt";"I alt";"1303 København K (Københavns Kommune)";107
"Alder i alt";"I alt";"1304 København K (Københavns Kommune)";479
"Alder i alt";"I alt";"1306 København K (Københavns Kommune)";646
"Alder i alt";"I alt";"1307 København K (Københavns Kommune)";1682
"Alder i alt";"I alt";"1308 København K (Københavns Kommune)";294
"Alder i alt";"I alt";"1309 København K (Københavns Kommune)";164
"Alder i alt";"I alt";"1310 København K (Københavns Kommune)";712
"Alder i alt";"I alt";"1311 København K (Københavns Kommune)";382
"Alder i alt";"I alt";"1312 København K (Københavns Kommune)";19
"Alder i alt";"I alt";"1313 København K (Københavns Kommune)";255
"Alder i alt";"I alt";"1314 København K (Københavns Kommune)";86
"Alder i alt";"I alt";"1315 København K (Københavns Kommune)";46
"Alder i alt";"I alt";"1316 København K (Københavns Kommune)";243
"Alder i alt";"I alt";"1317 København K (Københavns Kommune)";41
"Alder i alt";"I alt";"1318 København K (Københavns Kommune)";51
"Alder i alt";"I alt";"1319 København K (Københavns Kommune)";268
"Alder i alt";"I alt";"1320 København K (Københavns Kommune)";65
"Alder i alt";"I alt";"1321 København K (Københavns Kommune)";21
"Alder i alt";"I alt";"1322 København K (Københavns Kommune)";110
"Alder i alt";"I alt";"1323 København K (Københavns Kommune)";33
"Alder i alt";"I alt";"1324 København K (Københavns Kommune)";102
"Alder i alt";"I alt";"1325 København K (Københavns Kommune)";114
"Alder i alt";"I alt";"1326 København K (Københavns Kommune)";42
"Alder i alt";"I alt";"1327 København K (Københavns Kommune)";29
"Alder i alt";"I alt";"1328 København K (Københavns Kommune)";52
"Alder i alt";"I alt";"1329 København K (Københavns Kommune)";21
"Alder i alt";"I alt";"1350 København K (Københavns Kommune)";311
"Alder i alt";"I alt";"1352 København K (Københavns Kommune)";483
"Alder i alt";"I alt";"1353 København K (Københavns Kommune)";81
"Alder i alt";"I alt";"1354 København K (Københavns Kommune)";531
"Alder i alt";"I alt";"1355 København K (Københavns Kommune)";423
"Alder i alt";"I alt";"1356 København K (Københavns Kommune)";155
"Alder i alt";"I alt";"1357 København K (Københavns Kommune)";160
"Alder i alt";"I alt";"1358 København K (Københavns Kommune)";388
"Alder i alt";"I alt";"1359 København K (Københavns Kommune)";243
"Alder i alt";"I alt";"1360 København K (Københavns Kommune)";714
"Alder i alt";"I alt";"1361 København K (Københavns Kommune)";323
"Alder i alt";"I alt";"1362 København K (Københavns Kommune)";371
"Alder i alt";"I alt";"1363 København K (Københavns Kommune)";497
"Alder i alt";"I alt";"1364 København K (Københavns Kommune)";986
"Alder i alt";"I alt";"1365 København K (Københavns Kommune)";213
"Alder i alt";"I alt";"1366 København K (Københavns Kommune)";1275
"Alder i alt";"I alt";"1367 København K (Københavns Kommune)";355
"Alder i alt";"I alt";"1368 København K (Københavns Kommune)";328
"Alder i alt";"I alt";"1369 København K (Københavns Kommune)";197
"Alder i alt";"I alt";"1370 København K (Københavns Kommune)";765
"Alder i alt";"I alt";"1400 København K (Københavns Kommune)";411
"Alder i alt";"I alt";"1401 København K (Københavns Kommune)";1034
"Alder i alt";"I alt";"1402 København K (Københavns Kommune)";301
"Alder i alt";"I alt";"1403 København K (Københavns Kommune)";11
"Alder i alt";"I alt";"1406 København K (Københavns Kommune)";41
"Alder i alt";"I alt";"1407 København K (Københavns Kommune)";123
"Alder i alt";"I alt";"1408 København K (Københavns Kommune)";602
"Alder i alt";"I alt";"1410 København K (Københavns Kommune)";25
"Alder i alt";"I alt";"1411 København K (Københavns Kommune)";518
"Alder i alt";"I alt";"1412 København K (Københavns Kommune)";38
"Alder i alt";"I alt";"1413 København K (Københavns Kommune)";90
"Alder i alt";"I alt";"1414 København K (Københavns Kommune)";253
"Alder i alt";"I alt";"1415 København K (Københavns Kommune)";715
"Alder i alt";"I alt";"1416 København K (Københavns Kommune)";464
"Alder i alt";"I alt";"1417 København K (Københavns Kommune)";86
"Alder i alt";"I alt";"1418 København K (Københavns Kommune)";266
"Alder i alt";"I alt";"1419 København K (Københavns Kommune)";17
"Alder i alt";"I alt";"1420 København K (Københavns Kommune)";651
"Alder i alt";"I alt";"1421 København K (Københavns Kommune)";31
"Alder i alt";"I alt";"1422 København K (Københavns Kommune)";848
